variant	wait_s	gops	valid	passes	harts	mask	tokens	dim	hidden	output_sum	slot_sum	ops	log	dump
d10_03_oc2_prefb	0.217563	2.313429	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d10_03_oc2_prefb_20260502-050004.log	dump_d10_03_oc2_prefb_20260502-050004.bin
d10_08_oc2_unroll	0.220077	2.287002	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d10_08_oc2_unroll_20260502-050004.log	dump_d10_08_oc2_unroll_20260502-050004.bin
d10_01_oc2	0.223535	2.251623	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d10_01_oc2_20260502-050004.log	dump_d10_01_oc2_20260502-050004.bin
d10_04_oc2_prefa	0.224783	2.239122	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d10_04_oc2_prefa_20260502-050004.log	dump_d10_04_oc2_prefa_20260502-050004.bin
d10_02_oc2_prefstatic	0.225209	2.234886	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d10_02_oc2_prefstatic_20260502-050004.log	dump_d10_02_oc2_prefstatic_20260502-050004.bin
d10_05_oc2_skipread	0.225365	2.233339	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d10_05_oc2_skipread_20260502-050004.log	dump_d10_05_oc2_skipread_20260502-050004.bin
d10_06_oc2_lastout	0.234081	2.150181	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d10_06_oc2_lastout_20260502-050004.log	dump_d10_06_oc2_lastout_20260502-050004.bin
d10_07_oc2_skipread_lastout	0.235547	2.136799	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d10_07_oc2_skipread_lastout_20260502-050004.log	dump_d10_07_oc2_skipread_lastout_20260502-050004.bin
d10_09_oc2_ofast	0.238746	2.108167	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d10_09_oc2_ofast_20260502-050004.log	dump_d10_09_oc2_ofast_20260502-050004.bin
d10_00_base	0.263017	1.913627	1	32	16	0xffff	192	64	128	1572864	1572864	503316480	run_d10_00_base_20260502-050004.log	dump_d10_00_base_20260502-050004.bin
