variant	harts	kernel_wait_s	mask	done	output_sum	output_match	gops
baseline_o2_full_evict	1	33.121900000	0x1	1	514785	True	0.014246
baseline_o2_full_evict	2	18.251300000	0x3	2	514785	True	0.025853
baseline_o2_full_evict	4	9.742270000	0xf	4	514785	True	0.048434
baseline_o2_full_evict	8	4.710640000	0xff	8	514785	True	0.100169
baseline_o2_full_evict	16	2.385090000	0xffff	16	514785	True	0.197837
window_o3	1	9.910940000	0x1	1	514785	True	0.047610
window_o3	2	5.870580000	0x3	2	514785	True	0.080377
window_o3	4	2.958400000	0xf	4	514785	True	0.159498
window_o3	8	1.475340000	0xff	8	514785	True	0.319831
window_o3	16	0.735235000	0xffff	16	514785	True	0.641780
window_no_prebar_o3	1	9.910820000	0x1	1	514785	True	0.047611
window_no_prebar_o3	2	5.688290000	0x3	2	514785	True	0.082953
window_no_prebar_o3	4	3.018270000	0xf	4	514785	True	0.156334
window_no_prebar_o3	8	1.466420000	0xff	8	514785	True	0.321776
window_no_prebar_o3	16	0.738874000	0xffff	16	514785	True	0.638619
nhwc_no_prebar_o3	1	6.853970000	0x1	1	514785	True	0.068845
nhwc_no_prebar_o3	2	4.701510000	0x3	2	514785	True	0.100363
nhwc_no_prebar_o3	4	2.334020000	0xf	4	514785	True	0.202166
nhwc_no_prebar_o3	8	1.203100000	0xff	8	514785	True	0.392203
nhwc_no_prebar_o3	16	0.751967000	0xffff	16	514785	True	0.627500
nhwc_interior_direct_o3	1	4.655980000	0x1	1	514785	True	0.101345
nhwc_interior_direct_o3	2	3.360000000	0x3	2	514785	True	0.140434
nhwc_interior_direct_o3	4	1.771210000	0xf	4	514785	True	0.266405
nhwc_interior_direct_o3	8	0.900750000	0xff	8	514785	True	0.523851
nhwc_interior_direct_o3	16	0.447779000	0xffff	16	514785	True	1.053777
nhwc_all_channels_o3_rejected	1	5.611860000	0x1	1	514785	True	0.084082
nhwc_all_channels_o3_rejected	2	4.124050000	0x3	2	514785	True	0.114416
nhwc_all_channels_o3_rejected	4	2.058080000	0xf	4	514785	True	0.229272
nhwc_all_channels_o3_rejected	8	1.016760000	0xff	8	514785	True	0.464081
nhwc_all_channels_o3_rejected	16	0.507920000	0xffff	16	514785	True	0.929003
best	1	4.655950000	0x1	1	514785	True	0.101345
best	2	3.360020000	0x3	2	514785	True	0.140433
best	4	1.771180000	0xf	4	514785	True	0.266410
best	8	0.900100000	0xff	8	514785	True	0.524230
best	16	0.447692000	0xffff	16	514785	True	1.053982
