variant	wait_s	gops	valid	magic	passes	done	mask	output_sum	slot_sum	ops	log	dump
adv20_01_scalar_control	0.467043	1.010312112589205	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_01_scalar_control_20260501-132051.log	dump_adv20_01_scalar_control_20260501-132051.bin
adv20_02_scalar_lastonly	0.462395	1.020467781874804	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_02_scalar_lastonly_20260501-132051.log	dump_adv20_02_scalar_lastonly_20260501-132051.bin
adv20_03_scalar_unroll	0.452853	1.0419699107657452	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_03_scalar_unroll_20260501-132051.log	dump_adv20_03_scalar_unroll_20260501-132051.bin
adv20_04_scalar_unroll_lastonly	0.456881	1.032783591350921	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_04_scalar_unroll_lastonly_20260501-132051.log	dump_adv20_04_scalar_unroll_lastonly_20260501-132051.bin
adv20_05_scalar_boundary	0.463084	1.0189494778485113	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_05_scalar_boundary_20260501-132051.log	dump_adv20_05_scalar_boundary_20260501-132051.bin
adv20_06_scalar_boundary_unroll	0.44335	1.0643040487199729	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_06_scalar_boundary_unroll_20260501-132051.log	dump_adv20_06_scalar_boundary_unroll_20260501-132051.bin
adv20_07_scalar_prefetch	0.468485	1.0072023650703865	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_07_scalar_prefetch_20260501-132051.log	dump_adv20_07_scalar_prefetch_20260501-132051.bin
adv20_08_scalar_prefetch_unroll	0.451286	1.0455879420145981	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_08_scalar_prefetch_unroll_20260501-132051.log	dump_adv20_08_scalar_prefetch_unroll_20260501-132051.bin
adv20_09_scalar_private_fused	0.885934	0.5326121358927415	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_09_scalar_private_fused_20260501-132051.log	dump_adv20_09_scalar_private_fused_20260501-132051.bin
adv20_10_scalar_private_fused_unroll	0.831732	0.5673212044264259	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_10_scalar_private_fused_unroll_20260501-132051.log	dump_adv20_10_scalar_private_fused_unroll_20260501-132051.bin
adv20_11_scalar_private_fused_barrier	0.886619	0.53220064086152	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_11_scalar_private_fused_barrier_20260501-132051.log	dump_adv20_11_scalar_private_fused_barrier_20260501-132051.bin
adv20_12_scalar_private_fused_barrier_unroll	0.837622	0.5633319086652452	1	0xd3c11003	8	16	0xffff	514785	514785	471859200	run_adv20_12_scalar_private_fused_barrier_unroll_20260501-132051.log	dump_adv20_12_scalar_private_fused_barrier_unroll_20260501-132051.bin
adv20_13_scalar_ch8	0.134837	0.9098644437357698	1	0xd3c11003	8	16	0xffff	524288	524288	122683392	run_adv20_13_scalar_ch8_20260501-132051.log	dump_adv20_13_scalar_ch8_20260501-132051.bin
adv20_14_scalar_ch4	0.0401649	0.8223634068552391	1	0xd3c11003	8	16	0xffff	524288	524288	33030144	run_adv20_14_scalar_ch4_20260501-132051.log	dump_adv20_14_scalar_ch4_20260501-132051.bin
adv20_15_vpu_fp_p1	0.0381804	1.5448345224251185	1	0xd3c11003	1	16	0xffff	514073	514073	58982400	run_adv20_15_vpu_fp_p1_20260501-132051.log	dump_adv20_15_vpu_fp_p1_20260501-132051.bin
adv20_16_vpu_fp_p8	0.300984	1.5677218722589907	1	0xd3c11003	8	16	0xffff	514073	514073	471859200	run_adv20_16_vpu_fp_p8_20260501-132051.log	dump_adv20_16_vpu_fp_p8_20260501-132051.bin
adv20_17_vpu_fp_p8_lastonly	0.299743	1.5742125754396268	1	0xd3c11003	8	16	0xffff	514073	514073	471859200	run_adv20_17_vpu_fp_p8_lastonly_20260501-132051.log	dump_adv20_17_vpu_fp_p8_lastonly_20260501-132051.bin
adv20_18_vpu_fp_p8_sharedw	0.296009	1.594070450560625	1	0xd3c11003	8	16	0xffff	514073	514073	471859200	run_adv20_18_vpu_fp_p8_sharedw_20260501-132051.log	dump_adv20_18_vpu_fp_p8_sharedw_20260501-132051.bin
adv20_19_vpu_fp_p8_private	0.635012	0.7430713120381977	1	0xd3c11003	8	16	0xffff	514073	514073	471859200	run_adv20_19_vpu_fp_p8_private_20260501-132051.log	dump_adv20_19_vpu_fp_p8_private_20260501-132051.bin
adv20_20_vpu_fp_p8_private_sharedw	0.622392	0.7581382794123318	1	0xd3c11003	8	16	0xffff	514073	514073	471859200	run_adv20_20_vpu_fp_p8_private_sharedw_20260501-132051.log	dump_adv20_20_vpu_fp_p8_private_sharedw_20260501-132051.bin
