tag	variant	harts	valid	wait_s	gops	passes	output_sum	slot_sum	ops	log	dump
scale_scalar_boundary_unroll_1h	scale_scalar_boundary_unroll	1	1	4.65126	0.10144760774499814	8	514785	514785	471859200	run_scale_scalar_boundary_unroll_1h_20260501-132234.log	dump_scale_scalar_boundary_unroll_1h_20260501-132234.bin
scale_scalar_boundary_unroll_2h	scale_scalar_boundary_unroll	2	1	3.36573	0.14019520282375592	8	514785	514785	471859200	run_scale_scalar_boundary_unroll_2h_20260501-132234.log	dump_scale_scalar_boundary_unroll_2h_20260501-132234.bin
scale_scalar_boundary_unroll_4h	scale_scalar_boundary_unroll	4	1	1.66804	0.28288242488189735	8	514785	514785	471859200	run_scale_scalar_boundary_unroll_4h_20260501-132234.log	dump_scale_scalar_boundary_unroll_4h_20260501-132234.bin
scale_scalar_boundary_unroll_8h	scale_scalar_boundary_unroll	8	1	0.862339	0.5471852716854972	8	514785	514785	471859200	run_scale_scalar_boundary_unroll_8h_20260501-132234.log	dump_scale_scalar_boundary_unroll_8h_20260501-132234.bin
scale_scalar_boundary_unroll_16h	scale_scalar_boundary_unroll	16	1	0.443444	1.0640784405697223	8	514785	514785	471859200	run_scale_scalar_boundary_unroll_16h_20260501-132234.log	dump_scale_scalar_boundary_unroll_16h_20260501-132234.bin
scale_vpu_fp_p8_sharedw_1h	scale_vpu_fp_p8_sharedw	1	1	3.75271	0.1257382531557195	8	514073	514073	471859200	run_scale_vpu_fp_p8_sharedw_1h_20260501-132234.log	dump_scale_vpu_fp_p8_sharedw_1h_20260501-132234.bin
scale_vpu_fp_p8_sharedw_2h	scale_vpu_fp_p8_sharedw	2	1	2.13779	0.22072289607491852	8	514073	514073	471859200	run_scale_vpu_fp_p8_sharedw_2h_20260501-132234.log	dump_scale_vpu_fp_p8_sharedw_2h_20260501-132234.bin
scale_vpu_fp_p8_sharedw_4h	scale_vpu_fp_p8_sharedw	4	1	1.09605	0.430508827152046	8	514073	514073	471859200	run_scale_vpu_fp_p8_sharedw_4h_20260501-132234.log	dump_scale_vpu_fp_p8_sharedw_4h_20260501-132234.bin
scale_vpu_fp_p8_sharedw_8h	scale_vpu_fp_p8_sharedw	8	1	0.565877	0.8338547069416147	8	514073	514073	471859200	run_scale_vpu_fp_p8_sharedw_8h_20260501-132234.log	dump_scale_vpu_fp_p8_sharedw_8h_20260501-132234.bin
scale_vpu_fp_p8_sharedw_16h	scale_vpu_fp_p8_sharedw	16	1	0.296077	1.5937043404249571	8	514073	514073	471859200	run_scale_vpu_fp_p8_sharedw_16h_20260501-132234.log	dump_scale_vpu_fp_p8_sharedw_16h_20260501-132234.bin
