variant	tag	harts	hart	minion	thread	cycles	retired_inst0	retired_inst1	l2_miss_req	minion_icache_req	icache_etlink_req
baseline_o2_full_evict	dncnn3_bench_1h	1	0	0	0	20244038214	18446744073709551261	731	3	0	0
baseline_o2_full_evict	dncnn3_bench_2h	2	0	0	0	13434399329	18446744073709550764	18446744073709551175	18446744073709551596	0	0
baseline_o2_full_evict	dncnn3_bench_2h	2	1	0	1	13434399342	18446744073709551562	103	62	18446744073709551049	18446744073709551597
baseline_o2_full_evict	dncnn3_bench_4h	4	0	0	0	10430650732	729	327	9	0	0
baseline_o2_full_evict	dncnn3_bench_4h	4	1	0	1	10430650747	18446744073709551573	347	18446744073709551594	373	18446744073709551606
baseline_o2_full_evict	dncnn3_bench_4h	4	2	1	0	0	0	0	0	0	0
baseline_o2_full_evict	dncnn3_bench_4h	4	3	1	1	10430650741	18446744073709551433	334	18446744073709551594	364	18446744073709551606
baseline_o2_full_evict	dncnn3_bench_8h	8	0	0	0	7427051926	1299	256	3	0	0
baseline_o2_full_evict	dncnn3_bench_8h	8	1	0	1	7427051944	657	280	18446744073709551603	916	24
baseline_o2_full_evict	dncnn3_bench_8h	8	2	1	0	0	0	0	0	0	0
baseline_o2_full_evict	dncnn3_bench_8h	8	3	1	1	7427051933	668	283	18446744073709551603	921	24
baseline_o2_full_evict	dncnn3_bench_8h	8	4	2	0	7427051926	1300	256	3	0	0
baseline_o2_full_evict	dncnn3_bench_8h	8	5	2	1	7427051943	667	155	18446744073709551603	917	24
baseline_o2_full_evict	dncnn3_bench_8h	8	6	3	0	0	0	0	0	0	0
baseline_o2_full_evict	dncnn3_bench_8h	8	7	3	1	7427051943	662	281	18446744073709551603	918	24
baseline_o2_full_evict	dncnn3_bench_16h	16	0	0	0	3906283296	57	45	18446744073709551606	0	0
baseline_o2_full_evict	dncnn3_bench_16h	16	1	0	1	3906283283	18446744073709551595	18446744073709551104	18446744073709551614	18446744073709551468	18446744073709551590
baseline_o2_full_evict	dncnn3_bench_16h	16	2	1	0	0	0	0	0	0	0
baseline_o2_full_evict	dncnn3_bench_16h	16	3	1	1	3906283290	18446744073709551613	18446744073709551119	18446744073709551614	18446744073709551473	18446744073709551590
baseline_o2_full_evict	dncnn3_bench_16h	16	4	2	0	3906283290	54	45	18446744073709551606	0	0
baseline_o2_full_evict	dncnn3_bench_16h	16	5	2	1	3906283274	4	18446744073709551116	18446744073709551614	18446744073709551478	18446744073709551590
baseline_o2_full_evict	dncnn3_bench_16h	16	6	3	0	0	0	0	0	0	0
baseline_o2_full_evict	dncnn3_bench_16h	16	7	3	1	3906283280	0	18446744073709551137	18446744073709551614	18446744073709551479	18446744073709551590
baseline_o2_full_evict	dncnn3_bench_16h	16	8	4	0	3906283262	15	45	18446744073709551606	0	0
baseline_o2_full_evict	dncnn3_bench_16h	16	9	4	1	3906283290	18446744073709551552	18446744073709551074	18446744073709551614	18446744073709551454	18446744073709551590
baseline_o2_full_evict	dncnn3_bench_16h	16	10	5	0	0	0	0	0	0	0
baseline_o2_full_evict	dncnn3_bench_16h	16	11	5	1	3906283279	18446744073709551558	18446744073709551081	18446744073709551614	18446744073709551461	18446744073709551590
baseline_o2_full_evict	dncnn3_bench_16h	16	12	6	0	3906283258	12	45	18446744073709551606	0	0
baseline_o2_full_evict	dncnn3_bench_16h	16	13	6	1	3906283283	18446744073709551540	18446744073709551073	18446744073709551614	18446744073709551454	18446744073709551590
baseline_o2_full_evict	dncnn3_bench_16h	16	14	7	0	0	0	0	0	0	0
baseline_o2_full_evict	dncnn3_bench_16h	16	15	7	1	3906283283	18446744073709551540	18446744073709551061	18446744073709551614	18446744073709551447	18446744073709551590
window_o3	dncnn3_bench_window_1h	1	0	0	0	6324551148	304	866	60	0	0
window_o3	dncnn3_bench_window_2h	2	0	0	0	3891108581	18446744073709551227	18446744073709551376	18446744073709551598	0	0
window_o3	dncnn3_bench_window_2h	2	1	0	1	3891108598	18446744073709551579	448	18446744073709551608	18446744073709551044	18446744073709551580
window_o3	dncnn3_bench_window_4h	4	0	0	0	2139066114	213	18446744073709551499	18446744073709551615	0	0
window_o3	dncnn3_bench_window_4h	4	1	0	1	2139066119	18446744073709550330	18446744073709551096	18446744073709551576	18446744073709550937	18446744073709551588
window_o3	dncnn3_bench_window_4h	4	2	1	0	0	0	0	0	0	0
window_o3	dncnn3_bench_window_4h	4	3	1	1	2139066110	18446744073709550348	18446744073709551118	18446744073709551576	18446744073709550954	18446744073709551588
window_o3	dncnn3_bench_window_8h	8	0	0	0	1259572417	18446744073709551139	18446744073709551269	18446744073709551605	0	0
window_o3	dncnn3_bench_window_8h	8	1	0	1	1259572407	18446744073709551453	18446744073709551284	39	1024	18446744073709551600
window_o3	dncnn3_bench_window_8h	8	2	1	0	0	0	0	0	0	0
window_o3	dncnn3_bench_window_8h	8	3	1	1	1259572407	18446744073709551452	18446744073709551285	39	1024	18446744073709551600
window_o3	dncnn3_bench_window_8h	8	4	2	0	1259572410	18446744073709551134	18446744073709551269	18446744073709551605	0	0
window_o3	dncnn3_bench_window_8h	8	5	2	1	1259572407	18446744073709551458	18446744073709551283	39	1025	18446744073709551600
window_o3	dncnn3_bench_window_8h	8	6	3	0	0	0	0	0	0	0
window_o3	dncnn3_bench_window_8h	8	7	3	1	1259572407	18446744073709551456	18446744073709551282	39	1025	18446744073709551600
window_o3	dncnn3_bench_window_16h	16	0	0	0	801368180	1651	1336	76	0	0
