variant	harts	kernel_wait_s	gops	output_sum	sc_reads_sum	sc_writes_sum	ms_reads_sum	ms_writes_sum	sc_reads_per_kop	sc_writes_per_kop	ms_reads_per_kop	ms_writes_per_kop
baseline_o2_full_evict	1	33.122	0.014246096250226437	514785	82769562	1662778	269419	378015	175.41156768798828	3.5238859388563366	0.5709732903374566	0.8011182149251302
baseline_o2_full_evict	2	18.2516	0.025853032062942427	514785	82801501	1694903	252442	362101	175.47925525241428	3.5919676886664496	0.5349943372938368	0.7673920525444878
baseline_o2_full_evict	4	9.74217	0.04843471218424643	514785	82769248	1662704	249320	357406	175.41090223524304	3.5237291124131946	0.5283779568142362	0.7574420505099826
baseline_o2_full_evict	8	4.71056	0.10017051051255052	514785	82768698	1662110	242991	350980	175.40973663330078	3.5224702623155384	0.5149650573730469	0.7438235812717013
baseline_o2_full_evict	16	2.38513	0.19783374491117883	514785	82800973	1694553	238927	345212	175.47813627454968	3.5912259419759116	0.5063523186577691	0.7315995958116319
window_o3	1	9.91087	0.04761027033953629	514785	82867668	1722254	240805	348618	175.6194814046224	3.6499320136176214	0.5103323194715712	0.7388178507486979
window_o3	2	5.87076	0.08037446599758806	514785	83001904	1781424	235758	343435	175.90396457248264	3.77532958984375	0.49963633219401044	0.7278336418999566
window_o3	4	2.9584	0.15949810708491075	514785	82924990	1783516	232104	339755	175.74096255832248	3.77976311577691	0.4918924967447917	0.7200347052680122
window_o3	8	1.47542	0.3198134768404929	514785	82907028	1732283	230239	337608	175.70289611816406	3.671186235215929	0.48794004652235246	0.715484619140625
window_o3	16	0.735361	0.6416701456835485	514785	82883394	1735672	229326	336925	175.6528091430664	3.6783684624565973	0.48600514729817706	0.7140371534559462
window_no_prebar_o3	1	9.9108	0.04761060661096985	514785	82868108	1722660	240811	348830	175.6204138861762	3.650792439778646	0.5103450351291232	0.7392671373155382
window_no_prebar_o3	2	5.68821	0.08295389938135196	514785	82960434	1781075	235533	343339	175.81607818603516	3.7745899624294705	0.4991594950358073	0.7276301913791232
window_no_prebar_o3	4	3.01793	0.15635193659230004	514785	82924990	1783396	231941	339835	175.74096255832248	3.779508802625868	0.49154705471462673	0.7202042473687066
window_no_prebar_o3	8	1.46622	0.32182019069443873	514785	82907147	1732633	230226	337840	175.70314831203885	3.671927981906467	0.48791249593098956	0.7159762912326388
window_no_prebar_o3	16	0.738707	0.638763677615076	514785	82883274	1735588	229330	336831	175.65255482991537	3.678190443250868	0.48601362440321183	0.7138379414876302
nhwc_no_prebar_o3	1	6.85406	0.06884375100305512	514785	38487009	1914503	236754	344415	81.56460444132487	4.0573607550726996	0.5017471313476562	0.7299105326334635
nhwc_no_prebar_o3	2	4.70146	0.10036439744249659	514785	43296265	2505374	234234	341859	91.75674650404189	5.309579637315538	0.49640655517578125	0.724493662516276
nhwc_no_prebar_o3	4	2.33378	0.20218666712372205	514785	38520479	1883383	231342	338742	81.63553661770291	3.9914088779025607	0.49027760823567706	0.7178878784179688
nhwc_no_prebar_o3	8	1.20304	0.39222236999601007	514785	38602266	1911231	229937	337581	81.80886586507161	4.050426483154297	0.4873000250922309	0.7154273986816406
nhwc_no_prebar_o3	16	0.75188	0.627572484971006	514785	81077364	3955841	229352	336977	171.82533264160156	8.383519914415148	0.4860602484809028	0.7141473558213975
nhwc_interior_direct_o3	1	4.6559	0.10134650658304517	514785	15283133	1955470	234255	342073	32.38918092515733	4.144181145562066	0.49645105997721356	0.7249471876356337
nhwc_interior_direct_o3	2	3.35984	0.14044097337968475	514785	12803779	1948634	232573	340275	27.134744856092667	4.129693773057726	0.49288643731011283	0.721136728922526
nhwc_interior_direct_o3	4	1.77074	0.2664757107198121	514785	12848683	1955439	230591	338168	27.229908837212456	4.144115447998047	0.488686031765408	0.7166714138454862
nhwc_interior_direct_o3	8	0.90109	0.5236537970679954	514785	12884638	1983886	229502	337119	27.306107415093315	4.204402499728733	0.48637813991970485	0.7144482930501302
