variant	tag	harts	kernel_wait_s	gops	summary_ok	done_count	active_mask	output_sum	slot_checksum_sum	ops	hpm_cycles_max	hpm_cycles_sum_active	hpm_inst_dedup	hpm_l2_miss_max	hpm_l2_miss_sum_active	hpm_icache_req_max	hpm_icache_req_sum_active	hpm_icache_etlink_max	hpm_icache_etlink_sum_active	sc_cycles_sum	sc_cycles_max	sc_reads_sum	sc_reads_max	sc_writes_sum	sc_writes_max	ms_cycles_sum	ms_cycles_max	ms_reads_sum	ms_reads_max	ms_writes_sum	ms_writes_max	cycles_per_op_max	inst_per_op_dedup	sc_reads_per_kop	sc_writes_per_kop	ms_reads_per_kop	ms_writes_per_kop
baseline_o2_full_evict	dncnn3_bench_1h	1	33.122	0.014246096250226437	1	1	0x1	514785	514785	471859200	20244038214	20244038214	18446744073709551261	3	3	0	0	0	0	80967904149	20241976362	82769562	20901471	1662778	427965	251803409090	31476056748	269419	41335	378015	56678	42.902709566752115	39093746765.36889	175.41156768798828	3.5238859388563366	0.5709732903374566	0.8011182149251302
baseline_o2_full_evict	dncnn3_bench_2h	2	18.2516	0.025853032062942427	1	2	0x3	514785	514785	471859200	13434399342	26868798671	18446744073709550867	18446744073709551596	18446744073709551658	18446744073709551049	18446744073709551049	18446744073709551597	18446744073709551597	53732122217	13433030709	82801501	20912958	1694903	461181	167102405625	20888219202	252442	39555	362101	54998	28.47120357513428	39093746765.36889	175.47925525241428	3.5919676886664496	0.5349943372938368	0.7673920525444878
baseline_o2_full_evict	dncnn3_bench_4h	4	9.74217	0.04843471218424643	1	4	0xf	514785	514785	471859200	10430650747	31291952220	1410	18446744073709551594	36893488147419103197	373	737	18446744073709551606	36893488147419103212	41718351955	10429588142	82769248	20899999	1662704	429303	129740586960	16217898032	249320	39198	357406	54484	22.105430490705704	2.9881795247395833e-06	175.41090223524304	3.5237291124131946	0.5283779568142362	0.7574420505099826
baseline_o2_full_evict	dncnn3_bench_8h	8	4.71056	0.10017051051255052	1	8	0xff	514785	514785	471859200	7427051944	44562311615	3598	18446744073709551603	73786976294838206418	921	3672	24	96	29705179272	7426294886	82768698	20899666	1662110	428751	92380622055	11547809144	242991	38528	350980	53799	15.739974856906468	7.625155978732639e-06	175.40973663330078	3.5224702623155384	0.5149650573730469	0.7438235812717013
baseline_o2_full_evict	dncnn3_bench_16h	16	2.38513	0.19783374491117883	1	16	0xffff	514785	514785	471859200	3906283296	46875399368	147573952589676408903	18446744073709551614	221360928884514619336	18446744073709551479	147573952589676411714	18446744073709551590	147573952589676412720	15623541484	3905885423	82800973	20911576	1694553	460750	48587906425	6073609874	238927	38066	345212	53164	8.27849344889323	312749974122.9511	175.47813627454968	3.5912259419759116	0.5063523186577691	0.7315995958116319
window_o3	dncnn3_bench_window_1h	1	9.91087	0.04761027033953629	1	1	0x1	514785	514785	471859200	6324551148	6324551148	304	60	60	0	0	0	0	25295627819	6323907088	82867668	20923472	1722254	464783	78667285407	9833607671	240805	38285	348618	53528	13.403471094767253	6.442599826388889e-07	175.6194814046224	3.6499320136176214	0.5103323194715712	0.7388178507486979
window_o3	dncnn3_bench_window_2h	2	5.87076	0.08037446599758806	1	2	0x3	514785	514785	471859200	3891108598	7782217179	18446744073709551675	18446744073709551608	36893488147419103206	18446744073709551044	18446744073709551044	18446744073709551580	18446744073709551580	15562849240	3890712402	83001904	21004083	1781424	485540	48399159346	6050015964	235758	37762	343435	52995	8.246334071689182	39093746765.36889	175.90396457248264	3.77532958984375	0.49963633219401044	0.7278336418999566
window_o3	dncnn3_bench_window_4h	4	2.9584	0.15949810708491075	1	4	0xf	514785	514785	471859200	2139066119	6417198343	36893488147419102427	18446744073709551615	55340232221128654767	18446744073709550954	36893488147419101891	18446744073709551588	36893488147419103176	8555392943	2138848347	82924990	20964451	1783516	485307	26606555515	3325885938	232104	37375	339755	52600	4.533272041744656	78187493530.73778	175.74096255832248	3.77976311577691	0.4918924967447917	0.7200347052680122
window_o3	dncnn3_bench_window_8h	8	1.47542	0.3198134768404929	1	8	0xff	514785	514785	471859200	1259572417	7557434455	110680464442257307407	18446744073709551605	36893488147419103366	1025	4098	18446744073709551600	73786976294838206400	5037776380	1259444142	82907028	20964893	1732283	463654	15667062096	1958421974	230239	37152	337608	52366	2.6693819194369848	234562480592.21332	175.70289611816406	3.671186235215929	0.48794004652235246	0.715484619140625
window_o3	dncnn3_bench_window_16h	16	0.735361	0.6416701456835485	1	16	0xffff	514785	514785	471859200	801368212	9616418387	14372	76	552	18446744073709550766	147573952589676405960	18446744073709551584	147573952589676412672	3205147093	801286794	82883394	20959657	1735672	466861	9967738981	1245992214	229326	37079	336925	52299	1.6983206261528863	3.0458238389756945e-05	175.6528091430664	3.6783684624565973	0.48600514729817706	0.7140371534559462
window_no_prebar_o3	dncnn3_bench_noprebar_1h	1	9.9108	0.04761060661096985	1	1	0x1	514785	514785	471859200	6314480652	6314480652	18446744073709550960	48	48	0	0	0	0	25255349757	6313837496	82868108	20923448	1722660	465204	78542015963	9817948734	240811	38292	348830	53573	13.382128931681315	39093746765.36889	175.6204138861762	3.650792439778646	0.5103450351291232	0.7392671373155382
window_no_prebar_o3	dncnn3_bench_noprebar_2h	2	5.68821	0.08295389938135196	1	2	0x3	514785	514785	471859200	3781972255	7563944492	36893488147419102881	18446744073709551601	36893488147419103196	111	111	6	6	15126348202	3781587118	82960434	20997796	1781075	484967	47041677259	5880327440	235533	37738	343339	52983	8.015044011010064	78187493530.73778	175.81607818603516	3.7745899624294705	0.4991594950358073	0.7276301913791232
window_no_prebar_o3	dncnn3_bench_noprebar_4h	4	3.01793	0.15635193659230004	1	4	0xf	514785	514785	471859200	2165003532	6495010574	36893488147419103092	86	122	794	1582	18446744073709551555	36893488147419103110	8659132578	2164783234	82924990	20964471	1783396	485144	26929178811	3366214568	231941	37356	339835	52612	4.588240585327148	78187493530.73778	175.74096255832248	3.779508802625868	0.49154705471462673	0.7202042473687066
window_no_prebar_o3	dncnn3_bench_noprebar_8h	8	1.46622	0.32182019069443873	1	8	0xff	514785	514785	471859200	1235930944	7415585557	73786976294838204297	76	248	18446744073709551363	73786976294838205441	18446744073709551565	73786976294838206260	4943222788	1235805727	82907147	20964783	1732633	464025	15373009855	1921664478	230226	37177	337840	52399	2.619279106987847	156374987061.47556	175.70314831203885	3.671927981906467	0.48791249593098956	0.7159762912326388
window_no_prebar_o3	dncnn3_bench_noprebar_16h	16	0.738707	0.638763677615076	1	16	0xffff	514785	514785	471859200	798481037	9581772255	73786976294838208003	18446744073709551612	221360928884514619104	18446744073709551018	147573952589676408028	18446744073709551587	147573952589676412696	3193599071	798399864	82883274	20959688	1735588	466776	9931823861	1241502819	229330	37082	336831	52277	1.6922019047207302	156374987061.47556	175.65255482991537	3.678190443250868	0.48601362440321183	0.7138379414876302
nhwc_no_prebar_o3	dncnn3_bench_nhwc_1h	1	6.85406	0.06884375100305512	1	1	0x1	514785	514785	471859200	4481641207	4481641207	1091	18446744073709551590	18446744073709551590	0	0	0	0	17924739703	4481184974	38487009	17296170	1914503	536677	55744439394	6968194477	236754	37868	344415	53100	9.49783580991957	2.3121303982204863e-06	81.56460444132487	4.0573607550726996	0.5017471313476562	0.7299105326334635
