variant	harts	valid	same_model	kernel_wait_s	gops	output_sum	slot_checksum_sum	ops	sc_reads_sum	sc_writes_sum	ms_reads_sum	ms_writes_sum
best	1	1	1	4.6559	0.10134650658304517	514785	514785	471859200	15282585	1955061	234248	342032
best	2	1	1	3.35995	0.1404363755413027	514785	514785	471859200	12803957	1948800	232723	340479
best	4	1	1	1.77106	0.2664275631542692	514785	514785	471859200	12848059	1955453	230510	338174
best	8	1	1	0.900719	0.5238694864880168	514785	514785	471859200	12884171	1983586	229537	337174
best	16	1	1	0.447677	1.0540170703431269	514785	514785	471859200	13988556	2074941	228812	336446
boundary_only_cacheops	1	1	1	4.77839	0.09874857431059415	514785	514785	471859200	13404857	1939167	271349	360672
boundary_only_cacheops	2	1	1	3.63974	0.12964090841653525	514785	514785	471859200	13444571	1972223	232965	340610
boundary_only_cacheops	4	1	1	1.79649	0.2626561795501227	514785	514785	471859200	13431356	1964026	230629	337988
boundary_only_cacheops	8	1	1	0.909676	0.5187112774218513	514785	514785	471859200	13216248	2006826	229314	336886
boundary_only_cacheops	16	1	1	0.462958	1.0192267981112757	514785	514785	471859200	13460393	1983125	228985	336570
hidden_unroll	1	1	1	4.70866	0.10021093049827338	514785	514785	471859200	15394709	1970985	296151	373481
hidden_unroll	2	1	1	3.35244	0.14075097540895587	514785	514785	471859200	16786014	2008577	232602	340336
hidden_unroll	4	1	1	1.69119	0.2790101644404236	514785	514785	471859200	16741350	1988432	230547	338231
hidden_unroll	8	1	1	0.865099	0.5454395392897229	514785	514785	471859200	15294448	1971784	229493	337098
hidden_unroll	16	1	1	0.452458	1.0428795600917653	514785	514785	471859200	17332140	3079335	228765	336380
skip_final_barrier	1	1	1	4.82937	0.09770616043086365	514785	514785	471859200	15274965	1939072	234404	342170
skip_final_barrier	2	1	1	3.67214	0.1284970616588692	514785	514785	471859200	16139182	2010582	232932	340617
skip_final_barrier	4	1	1	1.81477	0.26001046964629126	514785	514785	471859200	12903540	1962717	230648	338268
skip_final_barrier	8	1	1	0.908638	0.5193038371716789	514785	514785	471859200	12887557	1980396	229536	337131
skip_final_barrier	16	1	1	0.466575	1.011325510368108	514785	514785	471859200	12907732	1965203	228958	336561
no_layer_barriers_unsafe	1	1	1	4.82926	0.0977083859638951	514785	514785	471859200	15274855	1938938	234415	342118
no_layer_barriers_unsafe	2	1	1	3.62447	0.13018708942272939	514785	514785	471859200	14038816	2051384	232916	340352
no_layer_barriers_unsafe	4	0	1	1.85095	0.2549281179934628	514681	514681	471859200	14247865	1953733	230720	338387
no_layer_barriers_unsafe	8	0	1	0.0013067	0.0	0	0	0	73338	48018	230938	328792
no_layer_barriers_unsafe	16	0	1	0.479259	0.9845599143678053	514410	514410	471859200	14252677	1958535	228816	336660
fused_halo	1	1	1	4.88057	0.0966811663391776	514785	514785	471859200	9581148	1937089	234363	342390
fused_halo	2	1	1	3.73609	0.12629759989721875	514785	514785	471859200	10076233	2011235	232868	340442
fused_halo	4	0	1	2.16196	0.21825528686932227	514521	514521	471859200	11494384	2378265	231084	338730
fused_halo	8	0	1	1.32362	0.3564914401414303	514458	514458	471859200	13967538	2902476	230044	337652
fused_halo	16	0	1	0.884589	0.5334219620637382	514589	514589	471859200	18900722	3947525	229487	337103
fused_halo_unroll	1	1	1	4.65345	0.1013998646165748	514785	514785	471859200	11939465	1891155	234192	341868
fused_halo_unroll	2	1	1	3.44612	0.13692477336830985	514785	514785	471859200	12654746	3206304	232720	340368
fused_halo_unroll	4	0	1	2.00404	0.23545398295443207	514573	514573	471859200	17104282	3552889	230927	338570
fused_halo_unroll	8	0	1	1.24845	0.37795602547158474	514544	514544	471859200	20795981	4336840	229979	337599
fused_halo_unroll	16	0	1	0.837238	0.5635902813775772	514538	514538	471859200	28143158	5900186	229449	336747
model_ch8	1	1	0	1.45522	0.08430573521529391	524288	524288	122683392	6389194	1030310	230194	337837
model_ch8	2	1	0	0.988524	0.12410765140755309	524288	524288	122683392	5973953	1055234	229672	337307
model_ch8	4	1	0	0.502332	0.24422770597931248	524288	524288	122683392	5868176	1037411	237654	345560
model_ch8	8	1	0	0.263278	0.46598421440454574	524288	524288	122683392	5892657	1047690	237464	345222
model_ch8	16	1	0	0.134848	0.9097902230659707	524288	524288	122683392	5888481	1042708	237305	345040
model_ch4	1	1	0	0.411777	0.0802136690490241	524288	524288	33030144	2298902	466812	237663	345599
model_ch4	2	1	0	0.276103	0.11962979033186892	524288	524288	33030144	2147052	452514	237471	345143
model_ch4	4	1	0	0.144418	0.2287120995997729	524288	524288	33030144	2131428	440057	237328	345055
model_ch4	8	1	0	0.075483	0.4375838798139979	524288	524288	33030144	2169000	447987	231438	337544
model_ch4	16	1	0	0.04008	0.8241053892215568	524288	524288	33030144	2118994	438164	228441	336032
