variant	wait_s	gops	valid	passes	harts	mask	output_sum	slot_sum	ops	log	dump
v3100_o08_ofast_m09_accfinal_prefw	0.195860	2.409166	1	8	16	0xffff	514073	514073	471859200	run_v3100_o08_ofast_m09_accfinal_prefw_20260502-044159.log	dump_v3100_o08_ofast_m09_accfinal_prefw_20260502-044159.bin
v3100_o08_ofast_m07_lastonly_prefw	0.197410	2.390250	1	8	16	0xffff	514073	514073	471859200	run_v3100_o08_ofast_m07_lastonly_prefw_20260502-044159.log	dump_v3100_o08_ofast_m07_lastonly_prefw_20260502-044159.bin
v3100_o08_ofast_m08_accfinal	0.198121	2.381672	1	8	16	0xffff	514073	514073	471859200	run_v3100_o08_ofast_m08_accfinal_20260502-044159.log	dump_v3100_o08_ofast_m08_accfinal_20260502-044159.bin
v3100_o08_ofast_m01_prefw	0.200676	2.351348	1	8	16	0xffff	514073	514073	471859200	run_v3100_o08_ofast_m01_prefw_20260502-044159.log	dump_v3100_o08_ofast_m01_prefw_20260502-044159.bin
v3100_o08_ofast_m04_skipfinal	0.201400	2.342896	1	8	16	0xffff	514073	514073	471859200	run_v3100_o08_ofast_m04_skipfinal_20260502-044159.log	dump_v3100_o08_ofast_m04_skipfinal_20260502-044159.bin
v3100_o08_ofast_m02_skipw	0.201440	2.342431	1	8	16	0xffff	514073	514073	471859200	run_v3100_o08_ofast_m02_skipw_20260502-044159.log	dump_v3100_o08_ofast_m02_skipw_20260502-044159.bin
v3100_o05_o3_align64_m07_lastonly_prefw	0.201488	2.341872	1	8	16	0xffff	514073	514073	471859200	run_v3100_o05_o3_align64_m07_lastonly_prefw_20260502-044159.log	dump_v3100_o05_o3_align64_m07_lastonly_prefw_20260502-044159.bin
v3100_o05_o3_align64_m05_skipfinal_prefw	0.201569	2.340931	1	8	16	0xffff	514073	514073	471859200	run_v3100_o05_o3_align64_m05_skipfinal_prefw_20260502-044159.log	dump_v3100_o05_o3_align64_m05_skipfinal_prefw_20260502-044159.bin
v3100_o08_ofast_m06_skipfinal_skipw	0.201589	2.340699	1	8	16	0xffff	514073	514073	471859200	run_v3100_o08_ofast_m06_skipfinal_skipw_20260502-044159.log	dump_v3100_o08_ofast_m06_skipfinal_skipw_20260502-044159.bin
v3100_o04_o3_align32_m05_skipfinal_prefw	0.201635	2.340165	1	8	16	0xffff	514073	514073	471859200	run_v3100_o04_o3_align32_m05_skipfinal_prefw_20260502-044159.log	dump_v3100_o04_o3_align32_m05_skipfinal_prefw_20260502-044159.bin
v3100_o04_o3_align32_m07_lastonly_prefw	0.201812	2.338113	1	8	16	0xffff	514073	514073	471859200	run_v3100_o04_o3_align32_m07_lastonly_prefw_20260502-044159.log	dump_v3100_o04_o3_align32_m07_lastonly_prefw_20260502-044159.bin
v3100_o02_o3_unroll_m08_accfinal	0.201912	2.336955	1	8	16	0xffff	514073	514073	471859200	run_v3100_o02_o3_unroll_m08_accfinal_20260502-044159.log	dump_v3100_o02_o3_unroll_m08_accfinal_20260502-044159.bin
v3100_o00_o3_m01_prefw	0.201992	2.336029	1	8	16	0xffff	514073	514073	471859200	run_v3100_o00_o3_m01_prefw_20260502-044159.log	dump_v3100_o00_o3_m01_prefw_20260502-044159.bin
v3100_o07_o3_notreecopy_m01_prefw	0.202002	2.335914	1	8	16	0xffff	514073	514073	471859200	run_v3100_o07_o3_notreecopy_m01_prefw_20260502-044159.log	dump_v3100_o07_o3_notreecopy_m01_prefw_20260502-044159.bin
v3100_o06_o3_noipa_m01_prefw	0.202028	2.335613	1	8	16	0xffff	514073	514073	471859200	run_v3100_o06_o3_noipa_m01_prefw_20260502-044159.log	dump_v3100_o06_o3_noipa_m01_prefw_20260502-044159.bin
v3100_o03_o3_nounroll_m01_prefw	0.202136	2.334365	1	8	16	0xffff	514073	514073	471859200	run_v3100_o03_o3_nounroll_m01_prefw_20260502-044159.log	dump_v3100_o03_o3_nounroll_m01_prefw_20260502-044159.bin
v3100_o08_ofast_m03_skipw_prefw	0.202214	2.333465	1	8	16	0xffff	514073	514073	471859200	run_v3100_o08_ofast_m03_skipw_prefw_20260502-044159.log	dump_v3100_o08_ofast_m03_skipw_prefw_20260502-044159.bin
v3100_o02_o3_unroll_m05_skipfinal_prefw	0.202337	2.332046	1	8	16	0xffff	514073	514073	471859200	run_v3100_o02_o3_unroll_m05_skipfinal_prefw_20260502-044159.log	dump_v3100_o02_o3_unroll_m05_skipfinal_prefw_20260502-044159.bin
v3100_o03_o3_nounroll_m07_lastonly_prefw	0.202597	2.329053	1	8	16	0xffff	514073	514073	471859200	run_v3100_o03_o3_nounroll_m07_lastonly_prefw_20260502-044159.log	dump_v3100_o03_o3_nounroll_m07_lastonly_prefw_20260502-044159.bin
v3100_o06_o3_noipa_m07_lastonly_prefw	0.202703	2.327835	1	8	16	0xffff	514073	514073	471859200	run_v3100_o06_o3_noipa_m07_lastonly_prefw_20260502-044159.log	dump_v3100_o06_o3_noipa_m07_lastonly_prefw_20260502-044159.bin
v3100_o05_o3_align64_m06_skipfinal_skipw	0.202733	2.327491	1	8	16	0xffff	514073	514073	471859200	run_v3100_o05_o3_align64_m06_skipfinal_skipw_20260502-044159.log	dump_v3100_o05_o3_align64_m06_skipfinal_skipw_20260502-044159.bin
v3100_o00_o3_m07_lastonly_prefw	0.202764	2.327135	1	8	16	0xffff	514073	514073	471859200	run_v3100_o00_o3_m07_lastonly_prefw_20260502-044159.log	dump_v3100_o00_o3_m07_lastonly_prefw_20260502-044159.bin
v3100_o01_o3_nosched_m06_skipfinal_skipw	0.202769	2.327078	1	8	16	0xffff	514073	514073	471859200	run_v3100_o01_o3_nosched_m06_skipfinal_skipw_20260502-044159.log	dump_v3100_o01_o3_nosched_m06_skipfinal_skipw_20260502-044159.bin
v3100_o00_o3_m05_skipfinal_prefw	0.202839	2.326275	1	8	16	0xffff	514073	514073	471859200	run_v3100_o00_o3_m05_skipfinal_prefw_20260502-044159.log	dump_v3100_o00_o3_m05_skipfinal_prefw_20260502-044159.bin
v3100_o06_o3_noipa_m05_skipfinal_prefw	0.202844	2.326217	1	8	16	0xffff	514073	514073	471859200	run_v3100_o06_o3_noipa_m05_skipfinal_prefw_20260502-044159.log	dump_v3100_o06_o3_noipa_m05_skipfinal_prefw_20260502-044159.bin
