variant	wait_s	gops	valid	passes	harts	mask	output_sum	slot_sum	ops	log	dump
vpuv2_00_baseline_sharedw	0.295969	1.594286	1	8	16	0xffff	514073	514073	471859200	run_vpuv2_00_baseline_sharedw_20260502-041316.log	dump_vpuv2_00_baseline_sharedw_20260502-041316.bin
vpuv2_01_acc3x3_sharedw	0.222907	2.116843	1	8	16	0xffff	514073	514073	471859200	run_vpuv2_01_acc3x3_sharedw_20260502-041316.log	dump_vpuv2_01_acc3x3_sharedw_20260502-041316.bin
vpuv2_02_acc3x3_sharedw_lastonly	0.222903	2.116881	1	8	16	0xffff	514073	514073	471859200	run_vpuv2_02_acc3x3_sharedw_lastonly_20260502-041316.log	dump_vpuv2_02_acc3x3_sharedw_lastonly_20260502-041316.bin
vpuv2_03_acc3x3_noshared	0.230112	2.050563	1	8	16	0xffff	514073	514073	471859200	run_vpuv2_03_acc3x3_noshared_20260502-041316.log	dump_vpuv2_03_acc3x3_noshared_20260502-041316.bin
vpuv2_04_acc3x3_p1_sharedw	0.028990	2.034577	1	1	16	0xffff	514073	514073	58982400	run_vpuv2_04_acc3x3_p1_sharedw_20260502-041316.log	dump_vpuv2_04_acc3x3_p1_sharedw_20260502-041316.bin
vpuv2_05_acc3x3_private_sharedw	0.468731	1.006674	1	8	16	0xffff	514073	514073	471859200	run_vpuv2_05_acc3x3_private_sharedw_20260502-041316.log	dump_vpuv2_05_acc3x3_private_sharedw_20260502-041316.bin
vpuv2_06_oc2_sharedw	0.201169	2.345586	1	8	16	0xffff	514073	514073	471859200	run_vpuv2_06_oc2_sharedw_20260502-041316.log	dump_vpuv2_06_oc2_sharedw_20260502-041316.bin
vpuv2_07_oc2_sharedw_lastonly	0.205879	2.291925	1	8	16	0xffff	514073	514073	471859200	run_vpuv2_07_oc2_sharedw_lastonly_20260502-041316.log	dump_vpuv2_07_oc2_sharedw_lastonly_20260502-041316.bin
vpuv2_08_oc2_accfinal_sharedw	0.205417	2.297080	1	8	16	0xffff	514073	514073	471859200	run_vpuv2_08_oc2_accfinal_sharedw_20260502-041316.log	dump_vpuv2_08_oc2_accfinal_sharedw_20260502-041316.bin
vpuv2_09_oc2_accfinal_lastonly	0.203335	2.320600	1	8	16	0xffff	514073	514073	471859200	run_vpuv2_09_oc2_accfinal_lastonly_20260502-041316.log	dump_vpuv2_09_oc2_accfinal_lastonly_20260502-041316.bin
