exp_id	batch	variant	tile	harts	passes	wait_s	gops	ops	allclose	bit_exact	max_abs	mean_abs	output_hash	reference_hash	done_count	magic_ok	status	flags	macros	dump	log	build_at	run_at
0	0_h16_baseline	o3	16	16	8	2.522780	1.0792	2722627584	True	False	7.000e-07	1.420e-07	0xafaccd62	0xbd92c224	16	True	ok	-O3		dump_h_tile16_o3_16h_20260502-103547.bin		2026-05-02T15:35	2026-05-02T15:35
1	0_h16_baseline	o3	16	8	8	4.696820	0.5797	2722627584	True	False	7.000e-07	1.420e-07	0xafaccd62	0xbd92c224	8	True	ok	-O3		dump_h_tile16_o3_8h_20260502-103547.bin		2026-05-02T15:35	2026-05-02T15:35
2	0_h16_baseline	o3_unroll	16	16	8	1.498770	1.8166	2722627584	True	False	7.000e-07	1.420e-07	0xafaccd62	0xbd92c224	16	True	ok	-O3 -funroll-loops		dump_h_tile16_o3_unroll_16h_20260502-103547.bin		2026-05-02T15:35	2026-05-02T15:35
3	0_h16_baseline	o3_unroll	16	8	8	3.199830	0.8509	2722627584	True	False	7.000e-07	1.420e-07	0xafaccd62	0xbd92c224	8	True	ok	-O3 -funroll-loops		dump_h_tile16_o3_unroll_8h_20260502-103547.bin		2026-05-02T15:35	2026-05-02T15:35
4	0_h16_baseline	o3_unroll_align64	16	16	8	1.705040	1.5968	2722627584	True	False	7.000e-07	1.420e-07	0xafaccd62	0xbd92c224	16	True	ok	-O3 -funroll-loops -falign-functions=64 -falign-loops=64		dump_h_tile16_o3_unroll_align64_16h_20260502-103547.bin		2026-05-02T15:35	2026-05-02T15:35
5	0_h16_baseline	o3_unroll_noipa	16	16	8	1.499190	1.8161	2722627584	True	False	7.000e-07	1.420e-07	0xafaccd62	0xbd92c224	16	True	ok	-O3 -funroll-loops -fno-ipa-cp -fno-ipa-sra		dump_h_tile16_o3_unroll_noipa_16h_20260502-103547.bin		2026-05-02T15:35	2026-05-02T15:35
6	0_h16_baseline	o3	64	16	8	33.499500	1.3004	43562041344	True	False	1.579e-06	2.850e-07	0xa91ccf40	0xf03a7637	16	True	ok	-O3		dump_h_tile64_o3_16h_20260502-103547.bin		2026-05-02T15:35	2026-05-02T15:35
7	0_h16_baseline	o3_unroll	64	16	8	26.698800	1.6316	43562041344	True	False	1.579e-06	2.850e-07	0xa91ccf40	0xf03a7637	16	True	ok	-O3 -funroll-loops		dump_h_tile64_o3_unroll_16h_20260502-103547.bin		2026-05-02T15:35	2026-05-02T15:35
8	0_h16_baseline	o3_unroll_align64	64	16	8	29.695700	1.4669	43562041344	True	False	1.579e-06	2.850e-07	0xa91ccf40	0xf03a7637	16	True	ok	-O3 -funroll-loops -falign-functions=64 -falign-loops=64		dump_h_tile64_o3_unroll_align64_16h_20260502-103547.bin		2026-05-02T15:35	2026-05-02T15:35
9	0_h16_baseline	o3_unroll_noipa	64	16	8	26.710500	1.6309	43562041344	True	False	1.579e-06	2.850e-07	0xa91ccf40	0xf03a7637	16	True	ok	-O3 -funroll-loops -fno-ipa-cp -fno-ipa-sra		dump_h_tile64_o3_unroll_noipa_16h_20260502-103547.bin		2026-05-02T15:35	2026-05-02T15:35
