timestamp	scope	variant	tile_id	tile_h	tile_w	input_h	input_w	halo	harts	passes	wait_s	total_wait_s	gops_full_image	gops_executed	ops_useful	ops_executed	max_abs	mean_abs	allclose	bit_exact	output_hash	reference_hash	status	remote_work	local_run_dir	flags	macros
2026-05-02T23:10:52	tile	a2_tile104_f9t_pfw_align128	6	64	64	104	104	20	16	1	5.682950			0.000000		0	0	0	0	1	0x00000000	0x00000000	fail	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/luxonis-real-dncnn/tiled-fp32/a2_tile104_f9t_pfw_align128_20260502-230942	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/tiled-fp32/runs/a2_tile104_f9t_pfw_align128_20260502-230942	-O3 -funroll-loops -falign-functions=128 -falign-loops=128 -fno-tree-loop-distribute-patterns -fno-tree-loop-vectorize	DNCNN_VPU_FUSED9TAP=1,DNCNN_VPU_PREFETCH_READ_WINDOW=1
2026-05-02T23:10:52	partial	a2_tile104_f9t_pfw_align128		64	64			20	16	1		5.682950	17.965763	0.000000	102098534400	0	0.982123554	0.475055128	0	0			partial	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/luxonis-real-dncnn/tiled-fp32/a2_tile104_f9t_pfw_align128_20260502-230942	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/tiled-fp32/runs/a2_tile104_f9t_pfw_align128_20260502-230942	-O3 -funroll-loops -falign-functions=128 -falign-loops=128 -fno-tree-loop-distribute-patterns -fno-tree-loop-vectorize	DNCNN_VPU_FUSED9TAP=1,DNCNN_VPU_PREFETCH_READ_WINDOW=1
2026-05-02T23:14:56	tile	a2_tile104_f9t_pfw_align128	6	64	64	104	104	20	16	1	5.682690			2.530294		14378876928	3.87430191e-07	8.35389073e-08	1	0	0x00000000	0x00000000	ok_stream_error	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/luxonis-real-dncnn/tiled-fp32/a2_tile104_f9t_pfw_align128_20260502-231341	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/tiled-fp32/runs/a2_tile104_f9t_pfw_align128_20260502-231341	-O3 -funroll-loops -falign-functions=128 -falign-loops=128 -fno-tree-loop-distribute-patterns -fno-tree-loop-vectorize	DNCNN_VPU_FUSED9TAP=1,DNCNN_VPU_PREFETCH_READ_WINDOW=1
2026-05-02T23:14:56	partial	a2_tile104_f9t_pfw_align128		64	64			20	16	1		5.682690	17.966585	2.530294	102098534400	14378876928	0.982123554	0.475055128	0	0			partial	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/luxonis-real-dncnn/tiled-fp32/a2_tile104_f9t_pfw_align128_20260502-231341	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/tiled-fp32/runs/a2_tile104_f9t_pfw_align128_20260502-231341	-O3 -funroll-loops -falign-functions=128 -falign-loops=128 -fno-tree-loop-distribute-patterns -fno-tree-loop-vectorize	DNCNN_VPU_FUSED9TAP=1,DNCNN_VPU_PREFETCH_READ_WINDOW=1
2026-05-02T23:25:49	tile	a3_tiled64_halo20_f9t_pfw_align128	0	64	64	84	84	20	16	1	3.989310			2.351360		9380302848	7.67409801e-07	8.81368578e-08	1	0	0x00000000	0x00000000	ok_stream_error	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/luxonis-real-dncnn/tiled-fp32/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/tiled-fp32/runs/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	-O3 -funroll-loops -falign-functions=128 -falign-loops=128 -fno-tree-loop-distribute-patterns -fno-tree-loop-vectorize	DNCNN_VPU_FUSED9TAP=1,DNCNN_VPU_PREFETCH_READ_WINDOW=1
2026-05-02T23:25:49	tile	a3_tiled64_halo20_f9t_pfw_align128	1	64	64	84	104	20	16	1	4.973270			2.335226		11613708288	8.12113285e-07	8.54429345e-08	1	0	0x00000000	0x00000000	ok_stream_error	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/luxonis-real-dncnn/tiled-fp32/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/tiled-fp32/runs/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	-O3 -funroll-loops -falign-functions=128 -falign-loops=128 -fno-tree-loop-distribute-patterns -fno-tree-loop-vectorize	DNCNN_VPU_FUSED9TAP=1,DNCNN_VPU_PREFETCH_READ_WINDOW=1
2026-05-02T23:25:49	tile	a3_tiled64_halo20_f9t_pfw_align128	2	64	64	84	104	20	16	1	4.974200			2.334789		11613708288	5.36441803e-07	8.52019184e-08	1	0	0x00000000	0x00000000	ok_stream_error	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/luxonis-real-dncnn/tiled-fp32/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/tiled-fp32/runs/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	-O3 -funroll-loops -falign-functions=128 -falign-loops=128 -fno-tree-loop-distribute-patterns -fno-tree-loop-vectorize	DNCNN_VPU_FUSED9TAP=1,DNCNN_VPU_PREFETCH_READ_WINDOW=1
2026-05-02T23:25:49	tile	a3_tiled64_halo20_f9t_pfw_align128	3	64	64	84	104	20	16	1	4.973110			2.335301		11613708288	5.06639481e-07	8.48526724e-08	1	0	0x00000000	0x00000000	ok_stream_error	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/luxonis-real-dncnn/tiled-fp32/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/tiled-fp32/runs/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	-O3 -funroll-loops -falign-functions=128 -falign-loops=128 -fno-tree-loop-distribute-patterns -fno-tree-loop-vectorize	DNCNN_VPU_FUSED9TAP=1,DNCNN_VPU_PREFETCH_READ_WINDOW=1
2026-05-02T23:25:49	tile	a3_tiled64_halo20_f9t_pfw_align128	4	64	64	84	84	20	16	1	3.989000			2.351542		9380302848	6.70552254e-07	8.70281838e-08	1	0	0x00000000	0x00000000	ok_stream_error	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/luxonis-real-dncnn/tiled-fp32/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/tiled-fp32/runs/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	-O3 -funroll-loops -falign-functions=128 -falign-loops=128 -fno-tree-loop-distribute-patterns -fno-tree-loop-vectorize	DNCNN_VPU_FUSED9TAP=1,DNCNN_VPU_PREFETCH_READ_WINDOW=1
2026-05-02T23:25:49	tile	a3_tiled64_halo20_f9t_pfw_align128	5	64	64	104	84	20	16	1	4.654680			2.495061		11613708288	5.51342964e-07	8.45702743e-08	1	0	0x00000000	0x00000000	ok_stream_error	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/luxonis-real-dncnn/tiled-fp32/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/luxonis-real-dncnn/tiled-fp32/runs/a3_tiled64_halo20_f9t_pfw_align128_20260502-231506	-O3 -funroll-loops -falign-functions=128 -falign-loops=128 -fno-tree-loop-distribute-patterns -fno-tree-loop-vectorize	DNCNN_VPU_FUSED9TAP=1,DNCNN_VPU_PREFETCH_READ_WINDOW=1
