variant	tile	harts	wait_s	gops	allclose	bit_exact	max_abs	mean_abs	output_hash	reference_hash	ops	magic_ok	log_status	dump
baseline	1x1	1	0.007116	0.1868	True	True	0.000e+00	0.000e+00	0x8210f159	0x8210f159	1329408	True	ok	dump_a_tile1_baseline_1h_20260502-095320.bin
o3	1x1	1	0.006629	0.2006	True	True	0.000e+00	0.000e+00	0x8210f159	0x8210f159	1329408	True	ok	dump_a_tile1_o3_1h_20260502-095320.bin
o3_unroll	1x1	1	0.005273	0.2521	True	True	0.000e+00	0.000e+00	0x8210f159	0x8210f159	1329408	True	ok	dump_a_tile1_o3_unroll_1h_20260502-095320.bin
ofast	1x1	1	0.006523	0.2038	True	True	0.000e+00	0.000e+00	0x8210f159	0x8210f159	1329408	True	ok	dump_a_tile1_ofast_1h_20260502-095320.bin
ofast_align64	1x1	1	0.006361	0.2090	True	True	0.000e+00	0.000e+00	0x8210f159	0x8210f159	1329408	True	ok	dump_a_tile1_ofast_align64_1h_20260502-095320.bin
ofast_noipa	1x1	1	0.006517	0.2040	True	True	0.000e+00	0.000e+00	0x8210f159	0x8210f159	1329408	True	ok	dump_a_tile1_ofast_noipa_1h_20260502-095320.bin
ofast_rename	1x1	1	0.007185	0.1850	True	True	0.000e+00	0.000e+00	0x8210f159	0x8210f159	1329408	True	ok	dump_a_tile1_ofast_rename_1h_20260502-095320.bin
ofast_rename_unroll	1x1	1	0.005222	0.2546	True	True	0.000e+00	0.000e+00	0x8210f159	0x8210f159	1329408	True	ok	dump_a_tile1_ofast_rename_unroll_1h_20260502-095320.bin
baseline	4x4	1	0.321346	0.0662	True	False	2.980e-07	1.220e-07	0x4d633e81	0x1e8fb52e	21270528	True	ok	dump_a_tile4_baseline_1h_20260502-095320.bin
baseline	4x4	4	0.087420	0.2433	False	False	1.682e-01	4.087e-02	0xce8c9b36	0x1e8fb52e	21270528	True	ok	dump_a_tile4_baseline_4h_20260502-095320.bin
o3	4x4	1	0.274577	0.0775	True	False	3.720e-07	1.320e-07	0x8c8992b6	0x1e8fb52e	21270528	True	ok	dump_a_tile4_o3_1h_20260502-095320.bin
o3	4x4	4	0.073209	0.2905	False	False	2.076e-01	6.164e-02	0xad80efca	0x1e8fb52e	21270528	True	ok	dump_a_tile4_o3_4h_20260502-095320.bin
o3_unroll	4x4	1	0.187524	0.1134	True	False	3.720e-07	1.320e-07	0x8c8992b6	0x1e8fb52e	21270528	True	ok	dump_a_tile4_o3_unroll_1h_20260502-095320.bin
o3_unroll	4x4	4	0.047685	0.4461	False	False	2.076e-01	4.770e-02	0x24222c26	0x1e8fb52e	21270528	True	ok	dump_a_tile4_o3_unroll_4h_20260502-095320.bin
ofast	4x4	1	0.276723	0.0769	True	False	4.730e-07	1.300e-07	0xb58e2885	0x1e8fb52e	21270528	True	ok	dump_a_tile4_ofast_1h_20260502-095320.bin
ofast_align64	4x4	1	0.274991	0.0773	True	False	4.730e-07	1.300e-07	0xb58e2885	0x1e8fb52e	21270528	True	ok	dump_a_tile4_ofast_align64_1h_20260502-095320.bin
ofast_noipa	4x4	1	0.276720	0.0769	True	False	4.730e-07	1.300e-07	0xb58e2885	0x1e8fb52e	21270528	True	ok	dump_a_tile4_ofast_noipa_1h_20260502-095320.bin
ofast_rename	4x4	1	0.279702	0.0760	True	False	4.730e-07	1.300e-07	0xb58e2885	0x1e8fb52e	21270528	True	ok	dump_a_tile4_ofast_rename_1h_20260502-095320.bin
ofast_rename_unroll	4x4	1	0.189499	0.1122	True	False	4.730e-07	1.300e-07	0xb58e2885	0x1e8fb52e	21270528	True	ok	dump_a_tile4_ofast_rename_unroll_1h_20260502-095320.bin
