model	variant	wait_s	gops	valid	passes	harts	mask	output_sum	ops	log	dump
depth	f20_depth_o3_unroll_align32_prefb_skipread	0.214615	2.345206	1	32	16	0xffff	1572864	503316480	focused20/run_depth_f20_depth_o3_unroll_align32_prefb_skipread_20260502-070609.log	focused20/dump_depth_f20_depth_o3_unroll_align32_prefb_skipread_20260502-070609.bin
depth	f20_depth_o3_unroll_prefa_prefb_skipread	0.214616	2.345196	1	32	16	0xffff	1572864	503316480	focused20/run_depth_f20_depth_o3_unroll_prefa_prefb_skipread_20260502-070609.log	focused20/dump_depth_f20_depth_o3_unroll_prefa_prefb_skipread_20260502-070609.bin
depth	f20_depth_o3_unroll_align64_prefb_skipread	0.214628	2.345064	1	32	16	0xffff	1572864	503316480	focused20/run_depth_f20_depth_o3_unroll_align64_prefb_skipread_20260502-070609.log	focused20/dump_depth_f20_depth_o3_unroll_align64_prefb_skipread_20260502-070609.bin
depth	f20_depth_ofast_unroll_prefb_skipread	0.227090	2.216374	1	32	16	0xffff	1572864	503316480	focused20/run_depth_f20_depth_ofast_unroll_prefb_skipread_20260502-070609.log	focused20/dump_depth_f20_depth_ofast_unroll_prefb_skipread_20260502-070609.bin
dncnn	f20_dncnn_ofast_noipa_accfinal_prefw	0.195734	2.410717	1	8	16	0xffff	514073	471859200	focused20/run_dncnn_f20_dncnn_ofast_noipa_accfinal_prefw_20260502-070609.log	focused20/dump_dncnn_f20_dncnn_ofast_noipa_accfinal_prefw_20260502-070609.bin
dncnn	f20_dncnn_ofast_align64_accfinal_prefw	0.195797	2.409941	1	8	16	0xffff	514073	471859200	focused20/run_dncnn_f20_dncnn_ofast_align64_accfinal_prefw_20260502-070609.log	focused20/dump_dncnn_f20_dncnn_ofast_align64_accfinal_prefw_20260502-070609.bin
dncnn	f20_dncnn_ofast_unroll_accfinal_prefw	0.198615	2.375748	1	8	16	0xffff	514073	471859200	focused20/run_dncnn_f20_dncnn_ofast_unroll_accfinal_prefw_20260502-070609.log	focused20/dump_dncnn_f20_dncnn_ofast_unroll_accfinal_prefw_20260502-070609.bin
dncnn	f20_dncnn_o3_unroll_align64_accfinal_prefw	0.202528	2.329847	1	8	16	0xffff	514073	471859200	focused20/run_dncnn_f20_dncnn_o3_unroll_align64_accfinal_prefw_20260502-070609.log	focused20/dump_dncnn_f20_dncnn_o3_unroll_align64_accfinal_prefw_20260502-070609.bin
stereo	f20_stereo_ofast_unroll_prefl_lastout	0.217298	2.316250	1	64	16	0xffff	11732640	503316480	focused20/run_stereo_f20_stereo_ofast_unroll_prefl_lastout_20260502-070609.log	focused20/dump_stereo_f20_stereo_ofast_unroll_prefl_lastout_20260502-070609.bin
stereo	f20_stereo_o3_unroll_align64_prefl_lastout	0.223059	2.256428	1	64	16	0xffff	11732640	503316480	focused20/run_stereo_f20_stereo_o3_unroll_align64_prefl_lastout_20260502-070609.log	focused20/dump_stereo_f20_stereo_o3_unroll_align64_prefl_lastout_20260502-070609.bin
stereo	f20_stereo_o3_unroll_prefl_skipread_lastout	0.224276	2.244183	1	64	16	0xffff	11732640	503316480	focused20/run_stereo_f20_stereo_o3_unroll_prefl_skipread_lastout_20260502-070609.log	focused20/dump_stereo_f20_stereo_o3_unroll_prefl_skipread_lastout_20260502-070609.bin
