model	variant	wait_s	gops	valid	passes	harts	mask	output_sum	ops	log	dump
depth	f20b_depth_o3_unroll_noipa_prefb_skipread	0.213948	2.352518	1	32	16	0xffff	1572864	503316480	focused20b/run_depth_f20b_depth_o3_unroll_noipa_prefb_skipread_20260502-071831.log	focused20b/dump_depth_f20b_depth_o3_unroll_noipa_prefb_skipread_20260502-071831.bin
depth	f20b_depth_o3_unroll_rename_prefb_skipread	0.214432	2.347208	1	32	16	0xffff	1572864	503316480	focused20b/run_depth_f20b_depth_o3_unroll_rename_prefb_skipread_20260502-071831.log	focused20b/dump_depth_f20b_depth_o3_unroll_rename_prefb_skipread_20260502-071831.bin
depth	f20b_depth_o3_unroll_notreecopy_prefb_skipread	0.214504	2.346420	1	32	16	0xffff	1572864	503316480	focused20b/run_depth_f20b_depth_o3_unroll_notreecopy_prefb_skipread_20260502-071831.log	focused20b/dump_depth_f20b_depth_o3_unroll_notreecopy_prefb_skipread_20260502-071831.bin
depth	f20b_depth_o3_unroll_nosched_prefb_skipread	0.235162	2.140297	1	32	16	0xffff	1572864	503316480	focused20b/run_depth_f20b_depth_o3_unroll_nosched_prefb_skipread_20260502-071831.log	focused20b/dump_depth_f20b_depth_o3_unroll_nosched_prefb_skipread_20260502-071831.bin
dncnn	f20b_dncnn_ofast_rename	0.195466	2.414022	1	8	16	0xffff	514073	471859200	focused20b/run_dncnn_f20b_dncnn_ofast_rename_20260502-071831.log	focused20b/dump_dncnn_f20b_dncnn_ofast_rename_20260502-071831.bin
dncnn	f20b_dncnn_ofast_notreecopy	0.195819	2.409670	1	8	16	0xffff	514073	471859200	focused20b/run_dncnn_f20b_dncnn_ofast_notreecopy_20260502-071831.log	focused20b/dump_dncnn_f20b_dncnn_ofast_notreecopy_20260502-071831.bin
dncnn	f20b_dncnn_ofast_noipa_align64	0.195909	2.408563	1	8	16	0xffff	514073	471859200	focused20b/run_dncnn_f20b_dncnn_ofast_noipa_align64_20260502-071831.log	focused20b/dump_dncnn_f20b_dncnn_ofast_noipa_align64_20260502-071831.bin
dncnn	f20b_dncnn_ofast_noipa_unroll	0.198825	2.373239	1	8	16	0xffff	514073	471859200	focused20b/run_dncnn_f20b_dncnn_ofast_noipa_unroll_20260502-071831.log	focused20b/dump_dncnn_f20b_dncnn_ofast_noipa_unroll_20260502-071831.bin
stereo	f20b_stereo_ofast_unroll_skipread_prefl_lastout	0.218834	2.299992	1	64	16	0xffff	11732640	503316480	focused20b/run_stereo_f20b_stereo_ofast_unroll_skipread_prefl_lastout_20260502-071831.log	focused20b/dump_stereo_f20b_stereo_ofast_unroll_skipread_prefl_lastout_20260502-071831.bin
stereo	f20b_stereo_ofast_unroll_align32_prefl_lastout	0.219127	2.296917	1	64	16	0xffff	11732640	503316480	focused20b/run_stereo_f20b_stereo_ofast_unroll_align32_prefl_lastout_20260502-071831.log	focused20b/dump_stereo_f20b_stereo_ofast_unroll_align32_prefl_lastout_20260502-071831.bin
stereo	f20b_stereo_ofast_unroll_align64_prefl_lastout	0.219541	2.292585	1	64	16	0xffff	11732640	503316480	focused20b/run_stereo_f20b_stereo_ofast_unroll_align64_prefl_lastout_20260502-071831.log	focused20b/dump_stereo_f20b_stereo_ofast_unroll_align64_prefl_lastout_20260502-071831.bin
stereo	f20b_stereo_ofast_unroll_noipa_prefl_lastout	0.219758	2.290322	1	64	16	0xffff	11732640	503316480	focused20b/run_stereo_f20b_stereo_ofast_unroll_noipa_prefl_lastout_20260502-071831.log	focused20b/dump_stereo_f20b_stereo_ofast_unroll_noipa_prefl_lastout_20260502-071831.bin
whisper	f20b_whisper_o3_unroll_align32_prefab_skipread	0.229184	2.342532	1	16	16	0xffff	2097152	536870912	focused20b/run_whisper_f20b_whisper_o3_unroll_align32_prefab_skipread_20260502-071831.log	focused20b/dump_whisper_f20b_whisper_o3_unroll_align32_prefab_skipread_20260502-071831.bin
whisper	f20b_whisper_o3_unroll_align64_prefab_skipread	0.229265	2.341705	1	16	16	0xffff	2097152	536870912	focused20b/run_whisper_f20b_whisper_o3_unroll_align64_prefab_skipread_20260502-071831.log	focused20b/dump_whisper_f20b_whisper_o3_unroll_align64_prefab_skipread_20260502-071831.bin
whisper	f20b_whisper_o3_unroll_noipa_prefab_skipread	0.229327	2.341072	1	16	16	0xffff	2097152	536870912	focused20b/run_whisper_f20b_whisper_o3_unroll_noipa_prefab_skipread_20260502-071831.log	focused20b/dump_whisper_f20b_whisper_o3_unroll_noipa_prefab_skipread_20260502-071831.bin
whisper	f20b_whisper_ofast_unroll_prefab_skipread	0.232317	2.310941	1	16	16	0xffff	2097152	536870912	focused20b/run_whisper_f20b_whisper_ofast_unroll_prefab_skipread_20260502-071831.log	focused20b/dump_whisper_f20b_whisper_ofast_unroll_prefab_skipread_20260502-071831.bin
yolo	f20b_yolo_ofast_unroll_align32_skipread	0.233047	2.305952	1	4	16	0xffff	13107200	537395200	focused20b/run_yolo_f20b_yolo_ofast_unroll_align32_skipread_20260502-071831.log	focused20b/dump_yolo_f20b_yolo_ofast_unroll_align32_skipread_20260502-071831.bin
yolo	f20b_yolo_ofast_unroll_align64_skipread	0.233199	2.304449	1	4	16	0xffff	13107200	537395200	focused20b/run_yolo_f20b_yolo_ofast_unroll_align64_skipread_20260502-071831.log	focused20b/dump_yolo_f20b_yolo_ofast_unroll_align64_skipread_20260502-071831.bin
yolo	f20b_yolo_ofast_unroll_noipa_skipread	0.233332	2.303135	1	4	16	0xffff	13107200	537395200	focused20b/run_yolo_f20b_yolo_ofast_unroll_noipa_skipread_20260502-071831.log	focused20b/dump_yolo_f20b_yolo_ofast_unroll_noipa_skipread_20260502-071831.bin
