name	csr_num	classification	stream_error	dump_status	before	after	delta	checksum
cycle	0xc00	traps_or_kernel_launch_error	1	started_only	0	0	0	0
time	0xc01	traps_or_kernel_launch_error	1	started_only	0	0	0	0
instret	0xc02	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm3	0xc03	usable	0	done	341286701242272	341286703343321	2101049	8781341024599170697
hpm4	0xc04	usable	0	done	7314	908639	901325	8781341024599170697
hpm5	0xc05	usable	0	done	6584	8080	1496	8781341024599170697
hpm6	0xc06	usable	0	done	700	790	90	8781341024599170697
hpm7	0xc07	usable	0	done	8223	309097	300874	8781341024599170697
hpm8	0xc08	usable	0	done	34	54	20	8781341024599170697
hpm9	0xc09	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm10	0xc0a	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm11	0xc0b	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm12	0xc0c	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm13	0xc0d	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm14	0xc0e	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm15	0xc0f	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm16	0xc10	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm17	0xc11	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm18	0xc12	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm19	0xc13	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm20	0xc14	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm21	0xc15	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm22	0xc16	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm23	0xc17	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm24	0xc18	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm25	0xc19	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm26	0xc1a	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm27	0xc1b	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm28	0xc1c	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm29	0xc1d	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm30	0xc1e	traps_or_kernel_launch_error	1	started_only	0	0	0	0
hpm31	0xc1f	traps_or_kernel_launch_error	1	started_only	0	0	0	0
