name	csr	rc	log	dump
cycle	0xC00	0	run_csr_cycle_20260501-093541.log	dump_pmc_probe_csr_cycle.bin
time	0xC01	0	run_csr_time_20260501-093541.log	dump_pmc_probe_csr_time.bin
instret	0xC02	0	run_csr_instret_20260501-093542.log	dump_pmc_probe_csr_instret.bin
hpm3	0xC03	0	run_csr_hpm3_20260501-093542.log	dump_pmc_probe_csr_hpm3.bin
hpm4	0xC04	0	run_csr_hpm4_20260501-093542.log	dump_pmc_probe_csr_hpm4.bin
hpm5	0xC05	0	run_csr_hpm5_20260501-093542.log	dump_pmc_probe_csr_hpm5.bin
hpm6	0xC06	0	run_csr_hpm6_20260501-093543.log	dump_pmc_probe_csr_hpm6.bin
hpm7	0xC07	0	run_csr_hpm7_20260501-093543.log	dump_pmc_probe_csr_hpm7.bin
hpm8	0xC08	0	run_csr_hpm8_20260501-093543.log	dump_pmc_probe_csr_hpm8.bin
hpm9	0xC09	0	run_csr_hpm9_20260501-093544.log	dump_pmc_probe_csr_hpm9.bin
hpm10	0xC0A	0	run_csr_hpm10_20260501-093544.log	dump_pmc_probe_csr_hpm10.bin
hpm11	0xC0B	0	run_csr_hpm11_20260501-093544.log	dump_pmc_probe_csr_hpm11.bin
hpm12	0xC0C	0	run_csr_hpm12_20260501-093544.log	dump_pmc_probe_csr_hpm12.bin
hpm13	0xC0D	0	run_csr_hpm13_20260501-093545.log	dump_pmc_probe_csr_hpm13.bin
hpm14	0xC0E	0	run_csr_hpm14_20260501-093545.log	dump_pmc_probe_csr_hpm14.bin
hpm15	0xC0F	0	run_csr_hpm15_20260501-093545.log	dump_pmc_probe_csr_hpm15.bin
hpm16	0xC10	0	run_csr_hpm16_20260501-093546.log	dump_pmc_probe_csr_hpm16.bin
hpm17	0xC11	0	run_csr_hpm17_20260501-093546.log	dump_pmc_probe_csr_hpm17.bin
hpm18	0xC12	0	run_csr_hpm18_20260501-093546.log	dump_pmc_probe_csr_hpm18.bin
hpm19	0xC13	0	run_csr_hpm19_20260501-093546.log	dump_pmc_probe_csr_hpm19.bin
hpm20	0xC14	0	run_csr_hpm20_20260501-093547.log	dump_pmc_probe_csr_hpm20.bin
hpm21	0xC15	0	run_csr_hpm21_20260501-093547.log	dump_pmc_probe_csr_hpm21.bin
hpm22	0xC16	0	run_csr_hpm22_20260501-093547.log	dump_pmc_probe_csr_hpm22.bin
hpm23	0xC17	0	run_csr_hpm23_20260501-093548.log	dump_pmc_probe_csr_hpm23.bin
hpm24	0xC18	0	run_csr_hpm24_20260501-093548.log	dump_pmc_probe_csr_hpm24.bin
hpm25	0xC19	0	run_csr_hpm25_20260501-093548.log	dump_pmc_probe_csr_hpm25.bin
hpm26	0xC1A	0	run_csr_hpm26_20260501-093548.log	dump_pmc_probe_csr_hpm26.bin
hpm27	0xC1B	0	run_csr_hpm27_20260501-093549.log	dump_pmc_probe_csr_hpm27.bin
hpm28	0xC1C	0	run_csr_hpm28_20260501-093549.log	dump_pmc_probe_csr_hpm28.bin
hpm29	0xC1D	0	run_csr_hpm29_20260501-093549.log	dump_pmc_probe_csr_hpm29.bin
hpm30	0xC1E	0	run_csr_hpm30_20260501-093550.log	dump_pmc_probe_csr_hpm30.bin
hpm31	0xC1F	0	run_csr_hpm31_20260501-093550.log	dump_pmc_probe_csr_hpm31.bin
