hart	minion	thread	active_harts	done	counter	begin	after_instr	after_mem	after_icache	final	delta_instr	delta_mem	delta_icache	delta_total	instr_checksum	mem_checksum	icache_checksum
0	0	0	16	1	hpmcounter3_cycles	341205507755087	341205514167264	341205515956964	341205517927519	341205517928079	6412177	1789700	1970555	10172992	6844234849884653383	12821136421084004301	17418738019836533845
0	0	0	16	1	hpmcounter4_retired_inst0	19228	17621759	18750572	22142592	22142830	17602531	1128813	3392020	22123602	6844234849884653383	12821136421084004301	17418738019836533845
0	0	0	16	1	hpmcounter5_retired_inst1	8779	17610429	18719419	22132256	22132392	17601650	1108990	3412837	22123613	6844234849884653383	12821136421084004301	17418738019836533845
0	0	0	16	1	hpmcounter6_l2_miss_req	1251	1283	132810	132843	132844	32	131527	33	131593	6844234849884653383	12821136421084004301	17418738019836533845
0	0	0	16	1	hpmcounter7_minion_icache_req	14226	6308704	6890830	8847899	8848005	6294478	582126	1957069	8833779	6844234849884653383	12821136421084004301	17418738019836533845
0	0	0	16	1	hpmcounter8_icache_etlink_req	107	110	121	121	121	3	11	0	14	6844234849884653383	12821136421084004301	17418738019836533845
1	0	1	16	0	hpmcounter3_cycles	341205507755073	341205514166524	341205515956349	341205517926787	341205517927465	6411451	1789825	1970438	10172392	8515274195092769887	441576393300936138	9097162962354005615
1	0	1	16	0	hpmcounter4_retired_inst0	19352	17621295	18749823	22142710	22142845	17601943	1128528	3392887	22123493	8515274195092769887	441576393300936138	9097162962354005615
1	0	1	16	0	hpmcounter5_retired_inst1	9805	17610789	18719397	22133170	22133280	17600984	1108608	3413773	22123475	8515274195092769887	441576393300936138	9097162962354005615
1	0	1	16	0	hpmcounter6_l2_miss_req	1251	1281	132802	132841	132843	30	131521	39	131592	8515274195092769887	441576393300936138	9097162962354005615
1	0	1	16	0	hpmcounter7_minion_icache_req	15016	6308977	6890996	8848554	8848680	6293961	582019	1957558	8833664	8515274195092769887	441576393300936138	9097162962354005615
1	0	1	16	0	hpmcounter8_icache_etlink_req	92	95	106	106	106	3	11	0	14	8515274195092769887	441576393300936138	9097162962354005615
2	1	0	16	0	hpmcounter3_cycles	341205507755098	341205514162230	341205515915753	341205517884605	341205517885219	6407132	1753523	1968852	10130121	14245153451858236504	12882205672212345728	9914827878442148980
2	1	0	16	0	hpmcounter4_retired_inst0	19250	17613277	18693321	22112025	22112723	17594027	1080044	3418704	22093473	14245153451858236504	12882205672212345728	9914827878442148980
2	1	0	16	0	hpmcounter5_retired_inst1	8795	17600071	18675303	22083839	22085081	17591276	1075232	3408536	22076286	14245153451858236504	12882205672212345728	9914827878442148980
2	1	0	16	0	hpmcounter6_l2_miss_req	1251	1259	131703	132822	132822	8	130444	1119	131571	14245153451858236504	12882205672212345728	9914827878442148980
2	1	0	16	0	hpmcounter7_minion_icache_req	14236	6304218	6855076	8816173	8816810	6289982	550858	1961097	8802574	14245153451858236504	12882205672212345728	9914827878442148980
2	1	0	16	0	hpmcounter8_icache_etlink_req	107	109	121	121	121	2	12	0	14	14245153451858236504	12882205672212345728	9914827878442148980
3	1	1	16	1	hpmcounter3_cycles	341205507755086	341205514162488	341205515931820	341205517900261	341205517900787	6407402	1769332	1968441	10145701	4022290747891680150	17345674325875032672	12206807781261052646
3	1	1	16	1	hpmcounter4_retired_inst0	19373	17614108	18716823	22124106	22124481	17594735	1102715	3407283	22105108	4022290747891680150	17345674325875032672	12206807781261052646
3	1	1	16	1	hpmcounter5_retired_inst1	9828	17601815	18687078	22113039	22113673	17591987	1085263	3425961	22103845	4022290747891680150	17345674325875032672	12206807781261052646
3	1	1	16	1	hpmcounter6_l2_miss_req	1251	1260	132421	132829	132830	9	131161	408	131579	4022290747891680150	17345674325875032672	12206807781261052646
3	1	1	16	1	hpmcounter7_minion_icache_req	15021	6305257	6868065	8831290	8831690	6290236	562808	1963225	8816669	4022290747891680150	17345674325875032672	12206807781261052646
3	1	1	16	1	hpmcounter8_icache_etlink_req	92	95	106	106	106	3	11	0	14	4022290747891680150	17345674325875032672	12206807781261052646
4	2	0	16	0	hpmcounter3_cycles	341205507755094	341205514165785	341205515917230	341205517886571	341205517887170	6410691	1751445	1969341	10132076	10173111585432584215	11556474665715955660	7120149455446015547
4	2	0	16	0	hpmcounter4_retired_inst0	19235	17620321	18695251	22114114	22114625	17601086	1074930	3418863	22095390	10173111585432584215	11556474665715955660	7120149455446015547
4	2	0	16	0	hpmcounter5_retired_inst1	8786	17608507	18676198	22087667	22088772	17599721	1067691	3411469	22079986	10173111585432584215	11556474665715955660	7120149455446015547
4	2	0	16	0	hpmcounter6_l2_miss_req	1251	1273	131786	132824	132824	22	130513	1038	131573	10173111585432584215	11556474665715955660	7120149455446015547
4	2	0	16	0	hpmcounter7_minion_icache_req	14229	6307549	6856050	8818076	8818629	6293320	548501	1962026	8804400	10173111585432584215	11556474665715955660	7120149455446015547
4	2	0	16	0	hpmcounter8_icache_etlink_req	107	110	121	121	121	3	11	0	14	10173111585432584215	11556474665715955660	7120149455446015547
5	2	1	16	1	hpmcounter3_cycles	341205507755088	341205514166574	341205515936370	341205517904908	341205517905430	6411486	1769796	1968538	10150342	3733370285211243026	2789259936799695395	977603938094263748
5	2	1	16	1	hpmcounter4_retired_inst0	19372	17621342	18723293	22127451	22127837	17601970	1101951	3404158	22108465	3733370285211243026	2789259936799695395	977603938094263748
5	2	1	16	1	hpmcounter5_retired_inst1	9828	17610819	18692778	22117841	22118334	17600991	1081959	3425063	22108506	3733370285211243026	2789259936799695395	977603938094263748
5	2	1	16	1	hpmcounter6_l2_miss_req	1251	1281	132558	132832	132832	30	131277	274	131581	3733370285211243026	2789259936799695395	977603938094263748
5	2	1	16	1	hpmcounter7_minion_icache_req	15022	6309000	6872221	8834717	8835096	6293978	563221	1962496	8820074	3733370285211243026	2789259936799695395	977603938094263748
5	2	1	16	1	hpmcounter8_icache_etlink_req	92	95	106	106	106	3	11	0	14	3733370285211243026	2789259936799695395	977603938094263748
0	0	0	16	1	hpmcounter3_cycles	341205507755096	341205514164444	341205515912934	341205517874092	341205517874760	6409348	1748490	1961158	10119664	0	2527238375027122635	17820662788963462863
0	0	0	16	1	hpmcounter4_retired_inst0	19243	17618408	18690481	22096093	22097239	17599165	1072073	3405612	22077996	0	2527238375027122635	17820662788963462863
0	0	0	16	1	hpmcounter5_retired_inst1	8795	17605560	18673563	22064847	22066077	17596765	1068003	3391284	22057282	0	2527238375027122635	17820662788963462863
0	0	0	16	1	hpmcounter6_l2_miss_req	1251	1268	131544	132815	132816	17	130276	1271	131565	0	2527238375027122635	17820662788963462863
0	0	0	16	1	hpmcounter7_minion_icache_req	14233	6306337	6853410	8805778	8806520	6292104	547073	1952368	8792287	0	2527238375027122635	17820662788963462863
