idx	kind	stage	block	pmc	shire	hart	value
0	SC	0	0	0	0	0	321074198636
1	SC	0	0	1	0	0	14709803
2	SC	0	0	2	0	0	2283712
3	SC	0	1	0	0	0	321074200161
4	SC	0	1	1	0	0	16702114
5	SC	0	1	2	0	0	2695198
6	SC	0	2	0	0	0	321074204188
7	SC	0	2	1	0	0	13277121
8	SC	0	2	2	0	0	2487610
9	SC	0	3	0	0	0	321074205084
10	SC	0	3	1	0	0	23037605
11	SC	0	3	2	0	0	2427291
12	MS	0	0	0	0	0	545981004647
13	MS	0	0	1	0	0	1245335
14	MS	0	0	2	0	0	3423310
15	MS	0	1	0	0	0	541479211327
16	MS	0	1	1	0	0	1859098
17	MS	0	1	2	0	0	3024942
18	MS	0	2	0	0	0	532480922379
19	MS	0	2	1	0	0	896409
20	MS	0	2	2	0	0	3020938
21	MS	0	3	0	0	0	527979209897
22	MS	0	3	1	0	0	1854504
23	MS	0	3	2	0	0	3020965
24	MS	0	4	0	0	0	550483214147
25	MS	0	4	1	0	0	880786
26	MS	0	4	2	0	0	3000805
27	MS	0	5	0	0	0	545981185183
28	MS	0	5	1	0	0	1830314
29	MS	0	5	2	0	0	3000367
30	MS	0	6	0	0	0	541479242747
31	MS	0	6	1	0	0	880188
32	MS	0	6	2	0	0	3000048
33	MS	0	7	0	0	0	532480952046
34	MS	0	7	1	0	0	1830390
35	MS	0	7	2	0	0	3000165
36	SC	1	0	0	0	0	321084439374
37	SC	1	0	1	0	0	14776816
38	SC	1	0	2	0	0	2317528
39	SC	1	1	0	0	0	321084439615
40	SC	1	1	1	0	0	16769246
41	SC	1	1	2	0	0	2729073
42	SC	1	2	0	0	0	321084443625
43	SC	1	2	1	0	0	13344308
44	SC	1	2	2	0	0	2521474
45	SC	1	3	0	0	0	321084444481
46	SC	1	3	1	0	0	23104490
47	SC	1	3	2	0	0	2461261
48	MS	1	0	0	0	0	545996924661
49	MS	1	0	1	0	0	1245857
50	MS	1	0	2	0	0	3423310
51	MS	1	1	0	0	0	541495131454
52	MS	1	1	1	0	0	1859104
53	MS	1	1	2	0	0	3024942
54	MS	1	2	0	0	0	532496842202
55	MS	1	2	1	0	0	896414
56	MS	1	2	2	0	0	3020938
57	MS	1	3	0	0	0	527995129536
58	MS	1	3	1	0	0	1854505
59	MS	1	3	2	0	0	3020965
60	MS	1	4	0	0	0	550499134135
61	MS	1	4	1	0	0	880787
62	MS	1	4	2	0	0	3000805
63	MS	1	5	0	0	0	545997105076
64	MS	1	5	1	0	0	1830317
65	MS	1	5	2	0	0	3000367
66	MS	1	6	0	0	0	541495162418
67	MS	1	6	1	0	0	880193
68	MS	1	6	2	0	0	3000048
69	MS	1	7	0	0	0	532496871413
70	MS	1	7	1	0	0	1830392
71	MS	1	7	2	0	0	3000165
72	SC	2	0	0	0	0	321084502464
73	SC	2	0	1	0	0	14776839
74	SC	2	0	2	0	0	2317545
75	SC	2	1	0	0	0	321084502630
76	SC	2	1	1	0	0	16769363
77	SC	2	1	2	0	0	2729147
78	SC	2	2	0	0	0	321084506564
79	SC	2	2	1	0	0	13344357
80	SC	2	2	2	0	0	2521520
81	SC	2	3	0	0	0	321084507448
82	SC	2	3	1	0	0	23104656
83	SC	2	3	2	0	0	2461420
84	MS	2	0	0	0	0	545997022275
85	MS	2	0	1	0	0	1245858
86	MS	2	0	2	0	0	3423310
87	MS	2	1	0	0	0	541495229135
88	MS	2	1	1	0	0	1859104
89	MS	2	1	2	0	0	3024942
90	MS	2	2	0	0	0	532496940007
91	MS	2	2	1	0	0	896414
92	MS	2	2	2	0	0	3020938
93	MS	2	3	0	0	0	527995227317
94	MS	2	3	1	0	0	1854505
95	MS	2	3	2	0	0	3020965
96	MS	2	4	0	0	0	550499232087
97	MS	2	4	1	0	0	880787
98	MS	2	4	2	0	0	3000805
99	MS	2	5	0	0	0	545997202876
100	MS	2	5	1	0	0	1830317
101	MS	2	5	2	0	0	3000367
102	MS	2	6	0	0	0	541495260302
103	MS	2	6	1	0	0	880193
104	MS	2	6	2	0	0	3000048
105	MS	2	7	0	0	0	532496969346
106	MS	2	7	1	0	0	1830392
107	MS	2	7	2	0	0	3000165
