variant	wait_s	gops	valid	passes	harts	mask	width	height	channels	disparities	output_sum	slot_sum	ops	log	dump
s100_o02_o3_unroll_m09_prefl_lastout	0.222081	2.266364	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o02_o3_unroll_m09_prefl_lastout_20260502-051007.log	dump_s100_o02_o3_unroll_m09_prefl_lastout_20260502-051007.bin
s100_o02_o3_unroll_m05_skipread_lastout	0.223946	2.247490	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o02_o3_unroll_m05_skipread_lastout_20260502-051007.log	dump_s100_o02_o3_unroll_m05_skipread_lastout_20260502-051007.bin
s100_o02_o3_unroll_m07_prefl_skipread	0.224449	2.242454	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o02_o3_unroll_m07_prefl_skipread_20260502-051007.log	dump_s100_o02_o3_unroll_m07_prefl_skipread_20260502-051007.bin
s100_o08_ofast_m04_lastout	0.224568	2.241265	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o08_ofast_m04_lastout_20260502-051007.log	dump_s100_o08_ofast_m04_lastout_20260502-051007.bin
s100_o08_ofast_m05_skipread_lastout	0.224778	2.239171	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o08_ofast_m05_skipread_lastout_20260502-051007.log	dump_s100_o08_ofast_m05_skipread_lastout_20260502-051007.bin
s100_o08_ofast_m07_prefl_skipread	0.224872	2.238235	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o08_ofast_m07_prefl_skipread_20260502-051007.log	dump_s100_o08_ofast_m07_prefl_skipread_20260502-051007.bin
s100_o08_ofast_m00_base	0.225393	2.233062	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o08_ofast_m00_base_20260502-051007.log	dump_s100_o08_ofast_m00_base_20260502-051007.bin
s100_o08_ofast_m02_prefl	0.226617	2.221001	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o08_ofast_m02_prefl_20260502-051007.log	dump_s100_o08_ofast_m02_prefl_20260502-051007.bin
s100_o04_o3_align32_m05_skipread_lastout	0.227803	2.209437	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o04_o3_align32_m05_skipread_lastout_20260502-051007.log	dump_s100_o04_o3_align32_m05_skipread_lastout_20260502-051007.bin
s100_o08_ofast_m03_skipread	0.228090	2.206657	1	64	16	0xffff	80	48	32	32	11732640	11732640	503316480	run_s100_o08_ofast_m03_skipread_20260502-051007.log	dump_s100_o08_ofast_m03_skipread_20260502-051007.bin
