variant	wait_s	gops	valid	passes	harts	mask	tokens	dim	hidden	output_sum	slot_sum	ops	log	dump
w100_o02_o3_unroll_m04_prefa_prefb	0.229464	2.339674	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o02_o3_unroll_m04_prefa_prefb_20260502-051633.log	dump_w100_o02_o3_unroll_m04_prefa_prefb_20260502-051633.bin
w100_o02_o3_unroll_m07_prefb_skipread	0.229825	2.335999	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o02_o3_unroll_m07_prefb_skipread_20260502-051633.log	dump_w100_o02_o3_unroll_m07_prefb_skipread_20260502-051633.bin
w100_o02_o3_unroll_m02_prefb	0.230089	2.333318	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o02_o3_unroll_m02_prefb_20260502-051633.log	dump_w100_o02_o3_unroll_m02_prefb_20260502-051633.bin
w100_o02_o3_unroll_m05_prefb_static	0.230287	2.331312	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o02_o3_unroll_m05_prefb_static_20260502-051633.log	dump_w100_o02_o3_unroll_m05_prefb_static_20260502-051633.bin
w100_o02_o3_unroll_m09_prefb_lastout	0.230562	2.328532	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o02_o3_unroll_m09_prefb_lastout_20260502-051633.log	dump_w100_o02_o3_unroll_m09_prefb_lastout_20260502-051633.bin
w100_o06_o3_noipa_m05_prefb_static	0.232844	2.305711	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o06_o3_noipa_m05_prefb_static_20260502-051633.log	dump_w100_o06_o3_noipa_m05_prefb_static_20260502-051633.bin
w100_o04_o3_align32_m04_prefa_prefb	0.233169	2.302497	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o04_o3_align32_m04_prefa_prefb_20260502-051633.log	dump_w100_o04_o3_align32_m04_prefa_prefb_20260502-051633.bin
w100_o04_o3_align32_m07_prefb_skipread	0.233248	2.301717	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o04_o3_align32_m07_prefb_skipread_20260502-051633.log	dump_w100_o04_o3_align32_m07_prefb_skipread_20260502-051633.bin
w100_o05_o3_align64_m04_prefa_prefb	0.233370	2.300514	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o05_o3_align64_m04_prefa_prefb_20260502-051633.log	dump_w100_o05_o3_align64_m04_prefa_prefb_20260502-051633.bin
w100_o04_o3_align32_m09_prefb_lastout	0.233500	2.299233	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o04_o3_align32_m09_prefb_lastout_20260502-051633.log	dump_w100_o04_o3_align32_m09_prefb_lastout_20260502-051633.bin
w100_o05_o3_align64_m07_prefb_skipread	0.233551	2.298731	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o05_o3_align64_m07_prefb_skipread_20260502-051633.log	dump_w100_o05_o3_align64_m07_prefb_skipread_20260502-051633.bin
w100_o04_o3_align32_m05_prefb_static	0.233586	2.298387	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o04_o3_align32_m05_prefb_static_20260502-051633.log	dump_w100_o04_o3_align32_m05_prefb_static_20260502-051633.bin
w100_o04_o3_align32_m02_prefb	0.233622	2.298032	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o04_o3_align32_m02_prefb_20260502-051633.log	dump_w100_o04_o3_align32_m02_prefb_20260502-051633.bin
w100_o05_o3_align64_m02_prefb	0.233639	2.297865	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o05_o3_align64_m02_prefb_20260502-051633.log	dump_w100_o05_o3_align64_m02_prefb_20260502-051633.bin
w100_o05_o3_align64_m09_prefb_lastout	0.233644	2.297816	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o05_o3_align64_m09_prefb_lastout_20260502-051633.log	dump_w100_o05_o3_align64_m09_prefb_lastout_20260502-051633.bin
w100_o05_o3_align64_m05_prefb_static	0.233752	2.296754	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o05_o3_align64_m05_prefb_static_20260502-051633.log	dump_w100_o05_o3_align64_m05_prefb_static_20260502-051633.bin
w100_o03_o3_nounroll_m07_prefb_skipread	0.234208	2.292283	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o03_o3_nounroll_m07_prefb_skipread_20260502-051633.log	dump_w100_o03_o3_nounroll_m07_prefb_skipread_20260502-051633.bin
w100_o00_o3_m04_prefa_prefb	0.234257	2.291803	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o00_o3_m04_prefa_prefb_20260502-051633.log	dump_w100_o00_o3_m04_prefa_prefb_20260502-051633.bin
w100_o06_o3_noipa_m02_prefb	0.234264	2.291735	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o06_o3_noipa_m02_prefb_20260502-051633.log	dump_w100_o06_o3_noipa_m02_prefb_20260502-051633.bin
w100_o07_o3_notreecopy_m07_prefb_skipread	0.234335	2.291040	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o07_o3_notreecopy_m07_prefb_skipread_20260502-051633.log	dump_w100_o07_o3_notreecopy_m07_prefb_skipread_20260502-051633.bin
w100_o00_o3_m07_prefb_skipread	0.234358	2.290815	1	16	16	0xffff	256	64	256	2097152	2097152	536870912	run_w100_o00_o3_m07_prefb_skipread_20260502-051633.log	dump_w100_o00_o3_m07_prefb_skipread_20260502-051633.bin
