timestamp	step	index	node	wait_s	ln_max_abs	ln_mean_abs	slot_done_count	active_mask	audit_pass	report
20260505-111441	3	0	/0/attn_ln/LayerNormalization	0.00055216	1e-06	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_smoke_runs/run_20260505-111441/decoder_layernorm_audit_report.json
20260505-111622	3	0	/0/attn_ln/LayerNormalization	0.000550327	1e-06	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	1	/0/cross_attn_ln/LayerNormalization	0.000404565	0.0	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	2	/0/mlp_ln/LayerNormalization	0.000552461	2e-06	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	3	/1/attn_ln/LayerNormalization	0.000551466	1e-06	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	4	/1/cross_attn_ln/LayerNormalization	0.000551602	1e-06	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	5	/1/mlp_ln/LayerNormalization	0.000544623	0.0	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	6	/2/attn_ln/LayerNormalization	0.000551496	0.0	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	7	/2/cross_attn_ln/LayerNormalization	0.000562807	5e-06	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	8	/2/mlp_ln/LayerNormalization	0.000404671	1e-06	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	9	/3/attn_ln/LayerNormalization	0.000551629	2e-06	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	10	/3/cross_attn_ln/LayerNormalization	0.000550801	0.0	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	11	/3/mlp_ln/LayerNormalization	0.000405829	0.0	0.0	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
20260505-111622	3	12	/ln/LayerNormalization	0.00055166	7e-06	1e-06	16	0xffff	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_layernorm_audit_runs/run_20260505-111622/decoder_layernorm_audit_report.json
