timestamp	step	index	op_type	node	elem_count	rows	cols	wait_s	host_max_abs	host_mean_abs	threshold	audit_pass	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req	report
20260505-124331	3	0	Add	/Add	384	1	384	0.00170138	0.06956863403320312	0.0019748725462704897	2e-06	False	0	0	0	0	0	0	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_scalar_ops_audit_runs/run_20260505-124331/decoder_scalar_ops_audit_report.json
20260505-124331	3	1	Add	/0/attn/query/Add	384	1	384	0.00141143	2.159473180770874	0.058406855911016464	2e-06	False	0	0	0	0	0	0	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_scalar_ops_audit_runs/run_20260505-124331/decoder_scalar_ops_audit_report.json
20260505-124331	3	2	Add	/0/attn/value/Add	384	1	384	0.001704	0.9432470798492432	0.027470910921692848	2e-06	False	0	0	0	0	0	0	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_scalar_ops_audit_runs/run_20260505-124331/decoder_scalar_ops_audit_report.json
20260505-124544	3	0	Add	/Add	384	1	384	0.00147788	0.0	0.0	2e-06	False	0	0	0	0	0	0	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_scalar_ops_audit_runs/run_20260505-124544/decoder_scalar_ops_audit_report.json
20260505-124544	3	1	Add	/0/attn/query/Add	384	1	384	0.00147707	0.0	0.0	2e-06	False	0	0	0	0	0	0	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_scalar_ops_audit_runs/run_20260505-124544/decoder_scalar_ops_audit_report.json
20260505-124544	3	2	Add	/0/attn/value/Add	384	1	384	0.00146397	0.0	0.0	2e-06	False	0	0	0	0	0	0	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_scalar_ops_audit_runs/run_20260505-124544/decoder_scalar_ops_audit_report.json
20260505-124716	3	0	Add	/Add	384	1	384	0.0016078	0.0	0.0	2e-06	True	0	0	0	0	0	0	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_scalar_ops_audit_runs/run_20260505-124716/decoder_scalar_ops_audit_report.json
20260505-124716	3	1	Add	/0/attn/query/Add	384	1	384	0.00147372	0.0	0.0	2e-06	True	0	0	0	0	0	0	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_scalar_ops_audit_runs/run_20260505-124716/decoder_scalar_ops_audit_report.json
20260505-124716	3	2	Add	/0/attn/value/Add	384	1	384	0.00157934	0.0	0.0	2e-06	True	0	0	0	0	0	0	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_scalar_ops_audit_runs/run_20260505-124716/decoder_scalar_ops_audit_report.json
20260505-125444	3	0	Softmax	/0/attn/Softmax	224	1	224	0.00156696	0.39080286026000977	0.0028638597577810287	0.0003	False	0	0	0	0	0	0	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/decoder_scalar_ops_audit_runs/run_20260505-125444/decoder_scalar_ops_audit_report.json
