timestamp	variant	node_name	act_name	weight_name	rows	k_dim_unpadded	k_dim	n_cols	tiles	tile_cols	active_harts	total_wait_s	token_s_for_this_matmul	ops	padded_ops_executed	gops_model_ops	gops_executed_ops	max_abs	mean_abs	p99_abs	allclose_1e4	allclose_1e3	tile_ok	argmax_match	remote_work	local_run_dir
20260504-160136	decoder_logits_real_coltile8192_ah16	/logits/MatMul	/ln/LayerNormalization_output_0	onnx::MatMul_3194	1	384	384	51864	7	8192	16	0.6053656000000001	1.6518943263376709	39831552	39831552	0.06579751475802391	0.06579751475802391	1.430511474609375e-05	2.175454710595659e-06	7.62939453125e-06	True	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/decoder_logits_real_coltile8192_ah16_20260504-160136	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/decoder_logits_real_coltile8192_ah16_20260504-160136
20260504-160552	decoder_token_mlp0_ah16	/0/mlp/0/MatMul	/0/mlp_ln/LayerNormalization_output_0	onnx::MatMul_2580	1	384	384	1536	1	1536	16	0.0185922	53.78599627800906	1179648	1179648	0.06344854293736082	0.06344854293736082	3.814697265625e-06	1.7256418516353733e-07	9.5367431640625e-07	True	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/decoder_token_mlp0_ah16_20260504-160552	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/decoder_token_mlp0_ah16_20260504-160552
20260504-160620	decoder_token_mlp2_ah16	/0/mlp/2/MatMul	/0/mlp/1/Mul_1_output_0	onnx::MatMul_2583	1	1536	1536	384	1	384	16	0.0173431	57.65981860221068	1179648	1179648	0.06801828969446061	0.06801828969446061	1.430511474609375e-06	5.6143715454481935e-08	2.485513732608524e-07	True	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/decoder_token_mlp2_ah16_20260504-160620	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/decoder_token_mlp2_ah16_20260504-160620
20260504-160640	decoder_token_self_qkv_ah16	MatMul_from_/0/attn/query/MatMul_and_/0/attn/key/MatMul_and_/0/attn/value/MatMul	/0/attn_ln/LayerNormalization_output_0	_v_2778	1	384	384	1152	1	1152	16	0.0132214	75.63495545101124	884736	884736	0.06691696794590588	0.06691696794590588	3.5762786865234375e-07	4.1610391576796246e-08	2.384185791015625e-07	True	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/decoder_token_self_qkv_ah16_20260504-160640	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/decoder_token_self_qkv_ah16_20260504-160640
20260504-160707	decoder_token_dense384_ah16	/0/attn/out/MatMul	/0/attn/Reshape_3_output_0	onnx::MatMul_2490	1	384	384	384	1	384	16	0.00736098	135.85147629799295	294912	294912	0.040064230577993694	0.040064230577993694	1.7881393432617188e-07	1.560268536593412e-08	6.973743182925318e-08	True	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/decoder_token_dense384_ah16_20260504-160707	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/decoder_token_dense384_ah16_20260504-160707
20260504-160729	decoder_token_cross_score_ah16	/0/cross_attn/MatMul	/0/cross_attn/Slice_output_0	_v_2820	1	64	64	1500	1	1500	16	0.00448283	223.07337106247616	192000	192000	0.042830087243995424	0.042830087243995424	1.9073486328125e-06	2.631743711845047e-07	9.5367431640625e-07	True	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/decoder_token_cross_score_ah16_20260504-160729	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/decoder_token_cross_score_ah16_20260504-160729
20260504-160749	decoder_token_cross_value_ah16	/0/cross_attn/MatMul_1	/0/cross_attn/Softmax_output_0	_v_2825	1	1500	1504	64	1	64	16	0.00288457	346.6721209747033	192000	192512	0.06656104722714304	0.06673854335308209	0.32461410760879517	0.03909757733345032	0.29660215973854065	False	False	False	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/decoder_token_cross_value_ah16_20260504-160749	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/decoder_token_cross_value_ah16_20260504-160749
20260504-160950	decoder_token_cross_value_ah16	/0/cross_attn/MatMul_1	/0/cross_attn/Softmax_output_0	_v_2825	1	1500	1504	64	1	64	16	0.0029009	344.7206039504981	192000	192512	0.06618635595849563	0.06636285290771829	1.1920928955078125e-07	1.605440047569573e-08	1.0043382303592807e-07	True	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/decoder_token_cross_value_ah16_20260504-160950	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/decoder_token_cross_value_ah16_20260504-160950
20260504-161010	decoder_token_self_score_ah16	/0/attn/MatMul	/0/attn/Slice_2_output_0	/0/attn/Slice_3_output_0	1	64	64	224	1	224	16	0.00189095	528.8347127105424	28672	28672	0.01516274888283667	0.01516274888283667	2.384185791015625e-07	1.0643687042843908e-09	0.0	True	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/decoder_token_self_score_ah16_20260504-161010	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/decoder_token_self_score_ah16_20260504-161010
20260504-161028	decoder_token_self_value_ah16	/0/attn/MatMul_1	/0/attn/Softmax_output_0	/0/attn/Slice_4_output_0	1	224	224	64	1	64	16	0.00070879	1410.8551192878003	28672	28672	0.04045203798021981	0.04045203798021981	0.0	0.0	0.0	True	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/decoder_token_self_value_ah16_20260504-161028	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/decoder_token_self_value_ah16_20260504-161028
