timestamp	step	index	op_type	node	elem_count	full_elem_count	tile_offset	src_count	original_src_count	compacted_source	wait_s	host_max_abs	audit_pass	mem_size	required_bytes	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req	report
20260505-163601	3	0	Transpose	/encoder/Transpose	576000	576000	0	576000	576000	False	0.139634	0.0	True	16777216	9238528	3567234	1951416	1951413	657125	630512	15	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	1	Split	Split_of_/encoder/blocks.0/attn/query/MatMul_and_/encoder/blocks.0/attn/key/MatMul_and_/encoder/blocks.0/attn/value/MatMul	576000	576000	0	1728000	1728000	False	0.135926	0.0	True	16777216	13846528	1598442	1951421	1951408	108024	598966	627629	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	1	Split	Split_of_/encoder/blocks.0/attn/query/MatMul_and_/encoder/blocks.0/attn/key/MatMul_and_/encoder/blocks.0/attn/value/MatMul	576000	576000	0	1728000	1728000	False	0.136156	0.0	True	16777216	13846528	1614397	1951421	1951408	108024	599370	15	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	1	Split	Split_of_/encoder/blocks.0/attn/query/MatMul_and_/encoder/blocks.0/attn/key/MatMul_and_/encoder/blocks.0/attn/value/MatMul	576000	576000	0	1728000	1728000	False	0.136157	0.0	True	16777216	13846528	1596687	1951421	1951408	108024	79514	15	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	2	Reshape	/encoder/blocks.0/attn/Reshape_1	576000	576000	0	576000	576000	False	0.136312	0.0	True	16777216	9238528	1589724	1951421	1951408	108024	597932	626719	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	3	Reshape	/encoder/blocks.0/attn/Reshape	576000	576000	0	576000	576000	False	0.136236	0.0	True	16777216	9238528	1590959	1951421	1951408	108024	595819	624053	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	4	Transpose	/encoder/blocks.0/attn/Transpose_1	576000	576000	0	576000	576000	False	0.147713	0.0	True	16777216	9238528	8412633	1951416	1951413	666035	638934	15	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	5	Reshape	/encoder/blocks.0/attn/Reshape_2	576000	576000	0	576000	576000	False	0.136419	0.0	True	16777216	9238528	1589349	1951421	1951408	108024	596752	624704	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	6	Transpose	/encoder/blocks.0/attn/Transpose	576000	576000	0	576000	576000	False	0.136531	0.0	True	16777216	9238528	1635692	1951421	1951408	108024	599751	627709	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
20260505-163601	3	7	Transpose	/encoder/blocks.0/attn/Transpose_2	576000	576000	0	576000	576000	False	0.136404	0.0	True	16777216	9238528	1637014	1951421	1951408	108024	600498	628208	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_data_ops_audit_runs/run_20260505-163601/encoder_data_ops_audit_report.json
