timestamp	step	index	node	rows	tiles	tile_rows	wait_s	host_max_abs	host_mean_abs	audit_pass	report
20260505-171739		0	/encoder/blocks.0/attn_ln/LayerNormalization	1500	3	512	0.1472834	3.814697265625e-06	8.539543472352307e-08	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_layernorm_smoke_runs/run_20260505-171739/encoder_layernorm_rows_audit_report.json
20260505-171859		0	/encoder/blocks.0/attn_ln/LayerNormalization	1500	3	512	0.1473983	3.814697265625e-06	8.539543472352307e-08	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_layernorm_audit_runs/run_20260505-171859/encoder_layernorm_rows_audit_report.json
20260505-171859		1	/encoder/blocks.0/mlp_ln/LayerNormalization	1500	3	512	0.1462688	3.814697265625e-06	1.2520862924247922e-07	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_layernorm_audit_runs/run_20260505-171859/encoder_layernorm_rows_audit_report.json
20260505-171859		2	/encoder/blocks.1/attn_ln/LayerNormalization	1500	3	512	0.14688600000000002	7.62939453125e-06	9.603436268434962e-08	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_layernorm_audit_runs/run_20260505-171859/encoder_layernorm_rows_audit_report.json
20260505-171859		3	/encoder/blocks.1/mlp_ln/LayerNormalization	1500	3	512	0.1446068	6.198883056640625e-06	1.311138362325437e-07	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_layernorm_audit_runs/run_20260505-171859/encoder_layernorm_rows_audit_report.json
20260505-171859		4	/encoder/blocks.2/attn_ln/LayerNormalization	1500	3	512	0.14622649999999998	5.7220458984375e-06	1.011729011679563e-07	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_layernorm_audit_runs/run_20260505-171859/encoder_layernorm_rows_audit_report.json
20260505-171859		5	/encoder/blocks.2/mlp_ln/LayerNormalization	1500	3	512	0.14674890000000002	3.814697265625e-06	1.3759967032456188e-07	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_layernorm_audit_runs/run_20260505-171859/encoder_layernorm_rows_audit_report.json
20260505-171859		6	/encoder/blocks.3/attn_ln/LayerNormalization	1500	3	512	0.1466621	3.814697265625e-06	1.1000285837781121e-07	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_layernorm_audit_runs/run_20260505-171859/encoder_layernorm_rows_audit_report.json
20260505-171859		7	/encoder/blocks.3/mlp_ln/LayerNormalization	1500	3	512	0.146802	1.52587890625e-05	4.166451788023551e-07	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_layernorm_audit_runs/run_20260505-171859/encoder_layernorm_rows_audit_report.json
20260505-171859		8	/encoder/ln_post/LayerNormalization	1500	3	512	0.1467217	3.814697265625e-06	5.389318857851322e-08	True	local-artifacts/erbium_amp_probe/whisper-real/phase0/encoder_layernorm_audit_runs/run_20260505-171859/encoder_layernorm_rows_audit_report.json
