timestamp	variant	onnx_node	act_name	weight_name	rows	k_dim	n_cols	tiles	tile_rows	active_harts	total_wait_s	ops	gops	max_abs	mean_abs	p99_abs	allclose_1e4	allclose_1e3	tile_ok	remote_work	local_run_dir
20260504-104251	mlp0_full_stitched_o3_unroll	/encoder/blocks.0/mlp/0/MatMul			1500	384	1536	12	128		2.3727479999999996	1769472000	0.7457479681786688	3.814697265625e-06	1.3349009009289148e-07	5.960464477539062e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/mlp0_full_stitched_o3_unroll_20260504-104251	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/mlp0_full_stitched_o3_unroll_20260504-104251
20260504-104948	mlp2_full_stitched_o3_unroll	/encoder/blocks.0/mlp/2/MatMul_output_0	/encoder/blocks.0/mlp/1/Mul_1_output_0	onnx::MatMul_783	1500	1536	384	12	128	16	1.806589	1769472000	0.9794546518328187	1.430511474609375e-06	5.2007781192742186e-08	2.682209014892578e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/mlp2_full_stitched_o3_unroll_20260504-104948	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/mlp2_full_stitched_o3_unroll_20260504-104948
20260504-105253	block0_qkv_full_stitched_o3_unroll	_v_649	/encoder/blocks.0/attn_ln/LayerNormalization_output_0	_v_648	1500	384	1152	12	128	16	1.7725579999999999	1327104000	0.7486942599339487	6.67572021484375e-06	2.188643009048974e-07	1.430511474609375e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/block0_qkv_full_stitched_o3_unroll_20260504-105253	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/block0_qkv_full_stitched_o3_unroll_20260504-105253
20260504-105641	block0_attn_out_full_stitched_o3_unroll	/encoder/blocks.0/attn/out/MatMul_output_0	/encoder/blocks.0/attn/Reshape_3_output_0	onnx::MatMul_777	1500	384	384	12	128	16	0.6036993000000002	442368000	0.7327621549337557	2.0265579223632812e-06	1.0076684020532412e-07	5.960464477539062e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/block0_attn_out_full_stitched_o3_unroll_20260504-105641	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/block0_attn_out_full_stitched_o3_unroll_20260504-105641
20260504-105916	block0_attn_score_h0_full_stitched_o3_unroll	/encoder/blocks.0/attn/MatMul_output_0	/encoder/blocks.0/attn/Mul_output_0	/encoder/blocks.0/attn/Mul_1_output_0	1500	64	1500	12	128	16	0.9987311999999998	288000000	0.28836587862680174	7.62939453125e-06	4.467678706987499e-07	1.9073486328125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/block0_attn_score_h0_full_stitched_o3_unroll_20260504-105916	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/block0_attn_score_h0_full_stitched_o3_unroll_20260504-105916
20260504-110235	block0_attn_value_h0_full_stitched_o3_unroll	/encoder/blocks.0/attn/MatMul_1_output_0	/encoder/blocks.0/attn/Softmax_output_0	/encoder/blocks.0/attn/Transpose_2_output_0	1500	1504	64	12	128	16	0.2945999	288768000	0.9802039987114727	4.291534423828125e-06	1.789141634844782e-07	1.1920928955078125e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/block0_attn_value_h0_full_stitched_o3_unroll_20260504-110235	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/block0_attn_value_h0_full_stitched_o3_unroll_20260504-110235
20260504-110356	block0_attn_score_h1_full_stitched_o3_unroll	/encoder/blocks.0/attn/MatMul_output_0	/encoder/blocks.0/attn/Mul_output_0	/encoder/blocks.0/attn/Mul_1_output_0	1500	64	1500	12	128	16	0.9972104999999999	288000000	0.2888056232861568	1.1444091796875e-05	4.927481427330349e-07	2.384185791015625e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/block0_attn_score_h1_full_stitched_o3_unroll_20260504-110356	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/block0_attn_score_h1_full_stitched_o3_unroll_20260504-110356
20260504-110720	block0_attn_score_h2_full_stitched_o3_unroll	/encoder/blocks.0/attn/MatMul_output_0	/encoder/blocks.0/attn/Mul_output_0	/encoder/blocks.0/attn/Mul_1_output_0	1500	64	1500	12	128	16	1.0017047000000001	288000000	0.2875098819043177	4.76837158203125e-06	3.366110661318089e-07	1.430511474609375e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/block0_attn_score_h2_full_stitched_o3_unroll_20260504-110720	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/block0_attn_score_h2_full_stitched_o3_unroll_20260504-110720
20260504-111034	block0_attn_score_h3_full_stitched_o3_unroll	/encoder/blocks.0/attn/MatMul_output_0	/encoder/blocks.0/attn/Mul_output_0	/encoder/blocks.0/attn/Mul_1_output_0	1500	64	1500	12	128	16	1.0052309	288000000	0.2865013401398624	2.384185791015625e-06	1.982633506258935e-07	7.152557373046875e-07	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/block0_attn_score_h3_full_stitched_o3_unroll_20260504-111034	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/block0_attn_score_h3_full_stitched_o3_unroll_20260504-111034
20260504-111339	block0_attn_score_h4_full_stitched_o3_unroll	/encoder/blocks.0/attn/MatMul_output_0	/encoder/blocks.0/attn/Mul_output_0	/encoder/blocks.0/attn/Mul_1_output_0	1500	64	1500	12	128	16	0.9982385000000001	288000000	0.28850820720699505	1.52587890625e-05	1.2180806834294344e-06	5.7220458984375e-06	True	True	True	/root/afonso/zephyr-u-mode/zephyr-emlearn-silicon-v2/erbium-amp-probe/whisper-real/block0_attn_score_h4_full_stitched_o3_unroll_20260504-111339	/home/afonso/zephyr/local-artifacts/erbium_amp_probe/whisper-real/phase0/runs/block0_attn_score_h4_full_stitched_o3_unroll_20260504-111339
