index	op_type	node	case_label	elem_count	full_elem_count	tile_offset	rows	cols	required_bytes	wait_s	wall_s	host_max_abs	host_mean_abs	threshold	audit_pass	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req
0	Div	/encoder/Div		1152000	1152000	0	1	1152000	18448384	0.395087	0.6932117938995361	0.0	0.0	2e-06	True	34564860	35541509	35537943	216028	19087093	19175864
1	Erf	/encoder/Erf		1152000	1152000	0	1	1152000	18448384	0.422967	0.7319014072418213	1.5497207641601562e-06	1.5500283723213215e-07	0.0003	True	55953814	48583539	48543032	216036	27220902	17
2	Add	/encoder/Add		1152000	1152000	0	1	1152000	18448384	0.358081	0.6658947467803955	0.0	0.0	2e-06	True	12302821	10961245	10961232	216036	127817	11
3	Mul	/encoder/Mul		1152000	1152000	0	1	1152000	18448384	0.354751	0.6533067226409912	0.0	0.0	2e-06	True	10420697	11537240	11537237	216036	4687106	9
4	Mul	/encoder/Mul_1		1152000	1152000	0	1	1152000	18448384	0.354804	0.6617074012756348	0.0	0.0	2e-06	True	10418989	11537240	11537237	216036	4685155	9
5	Div	/encoder/Div_1		576000	576000	0	1	576000	9238528	0.198047	0.5001959800720215	0.0	0.0	2e-06	True	17461560	17712913	17776684	108028	9651868	14
6	Erf	/encoder/Erf_1		576000	576000	0	1	576000	9238528	0.212286	0.5046329498291016	1.5497207641601562e-06	1.5960007715420943e-07	0.0003	True	27989385	24291625	24230728	100177	13593559	17
7	Add	/encoder/Add_1		576000	576000	0	1	576000	9238528	0.179178	0.4848179817199707	0.0	0.0	2e-06	True	6154647	5480840	5480837	108036	4579438	11
8	Mul	/encoder/Mul_2		576000	576000	0	1	576000	9238528	0.177675	0.4815516471862793	0.0	0.0	2e-06	True	5212261	5768840	5768837	108036	2343267	2393449
9	Mul	/encoder/Mul_3		576000	576000	0	1	576000	9238528	0.177675	0.4920616149902344	0.0	0.0	2e-06	True	5212088	5768840	5768837	108036	58853	9
