index	op_type	node	case_label	elem_count	full_elem_count	tile_offset	rows	cols	required_bytes	wait_s	wall_s	host_max_abs	host_mean_abs	threshold	audit_pass	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req
0	Div	/encoder/Div		1152000	1152000	0	1	1152000	18448384	0.358123	0.6617372035980225	0.0	0.0	2e-06	True	17112141	35536353	35543955	216056	13623596	13707683
1	Erf	/encoder/Erf		1152000	1152000	0	1	1152000	18448384	0.365581	0.6781022548675537	1.5497207641601562e-06	1.5500283723213215e-07	0.0003	True	27872002	48572892	48554535	216088	20931845	21015588
2	Add	/encoder/Add		1152000	1152000	0	1	1152000	18448384	0.340895	0.652167797088623	0.0	0.0	2e-06	True	6655983	10961664	10961669	216072	6335033	6419121
3	Mul	/encoder/Mul		1152000	1152000	0	1	1152000	18448384	0.338268	0.641333818435669	0.0	0.0	2e-06	True	5182353	11537664	11537669	216072	3634540	9
4	Mul	/encoder/Mul_1		1152000	1152000	0	1	1152000	18448384	0.3383	0.6512207984924316	0.0	0.0	2e-06	True	5181881	11537664	11537669	216072	3637497	3720670
5	Div	/encoder/Div_1		576000	576000	0	1	576000	9238528	0.179639	0.4844543933868408	0.0	0.0	2e-06	True	8668607	17766935	17723518	108056	6873523	6920618
6	Erf	/encoder/Erf_1		576000	576000	0	1	576000	9238528	0.18383	0.4889352321624756	1.5497207641601562e-06	1.5960007715420943e-07	0.0003	True	13941306	24259358	24263851	108088	10476005	10522438
7	Add	/encoder/Add_1		576000	576000	0	1	576000	9238528	0.170687	0.47422337532043457	0.0	0.0	2e-06	True	3329568	5481264	5481269	108072	3168980	3215067
8	Mul	/encoder/Mul_2		576000	576000	0	1	576000	9238528	0.169429	0.4674503803253174	0.0	0.0	2e-06	True	2590325	5769264	5769269	108072	1816779	9
9	Mul	/encoder/Mul_3		576000	576000	0	1	576000	9238528	0.169434	0.4753539562225342	0.0	0.0	2e-06	True	2590259	5769264	5769269	108072	1817784	9
10	Add	/encoder/Add_2		576000	576000	0	1	576000	9238528	0.170653	0.46718764305114746	0.0	0.0	2e-06	True	3329166	5481264	5481269	108072	3166369	11
11	Add	/encoder/blocks.0/attn/query/Add		576000	576000	0	1	576000	9238528	0.170598	0.47376012802124023	0.0	0.0	2e-06	True	3330077	5481264	5481269	108072	3167499	3214775
12	Add	/encoder/blocks.0/attn/value/Add		576000	576000	0	1	576000	9238528	0.170634	0.47430419921875	0.0	0.0	2e-06	True	3328528	5481264	5481269	108072	3166113	11
13	Mul	/encoder/blocks.0/attn/Mul_1		576000	576000	0	1	576000	9238528	0.169436	0.4705386161804199	0.0	0.0	2e-06	True	2589918	5769264	5769269	108072	1817034	9
14	Mul	/encoder/blocks.0/attn/Mul		576000	576000	0	1	576000	9238528	0.169457	0.4752767086029053	0.0	0.0	2e-06	True	2591074	5769264	5769269	108072	1819650	9
15	Softmax	/encoder/blocks.0/attn/Softmax		13500000	13500000	0	9000	1500	216021376	4.68446	5.1147825717926025	3.606081008911133e-06	6.97872648558473e-10	0.0005	True	289296800	452269560	453075613	3429056	213542015	214396505
16	Add	/encoder/blocks.0/attn/out/Add		576000	576000	0	1	576000	9238528	0.170759	0.4722330570220947	0.0	0.0	2e-06	True	3331183	5481264	5481269	108072	3166425	3213382
17	Add	/encoder/blocks.0/Add		576000	576000	0	1	576000	9238528	0.170634	0.4735546112060547	0.0	0.0	2e-06	True	3330303	5481264	5481269	108072	3166081	3212848
18	Add	/encoder/blocks.0/mlp/0/Add		2304000	2304000	0	1	2304000	36880384	0.696031	1.006286859512329	0.0	0.0	2e-06	True	13890015	21922469	21922464	432071	12937074	11
19	Div	/encoder/blocks.0/mlp/1/Div		2304000	2304000	0	1	2304000	36880384	0.729556	1.0324785709381104	0.0	0.0	2e-06	True	34031484	71033550	71038220	432056	27347885	14
20	Erf	/encoder/blocks.0/mlp/1/Erf		2304000	2304000	0	1	2304000	36880384	0.744253	1.0703530311584473	1.5497207641601562e-06	1.4864272657177935e-07	0.0003	True	56446618	97788430	97786471	432088	41693492	41849204
21	Add	/encoder/blocks.0/mlp/1/Add		2304000	2304000	0	1	2304000	36880384	0.696039	1.004875898361206	0.0	0.0	2e-06	True	13892659	21922464	21922469	432072	12935521	11
22	Mul	/encoder/blocks.0/mlp/1/Mul		2304000	2304000	0	1	2304000	36880384	0.691786	1.000896692276001	0.0	0.0	2e-06	True	11314397	23074464	23074469	432072	7401768	9
23	Mul	/encoder/blocks.0/mlp/1/Mul_1		2304000	2304000	0	1	2304000	36880384	0.6917	1.005373477935791	0.0	0.0	2e-06	True	11355528	23074464	23074469	432072	7407339	7563469
24	Add	/encoder/blocks.0/mlp/2/Add		576000	576000	0	1	576000	9238528	0.170597	0.47252893447875977	0.0	0.0	2e-06	True	3328935	5481264	5481269	108072	3166418	11
25	Add	/encoder/blocks.0/Add_1		576000	576000	0	1	576000	9238528	0.170646	0.4723701477050781	0.0	0.0	2e-06	True	3330355	5481264	5481269	108072	3165949	3212014
26	Add	/encoder/blocks.1/attn/query/Add		576000	576000	0	1	576000	9238528	0.170636	0.4764740467071533	0.0	0.0	2e-06	True	3327628	5481264	5481269	108072	3165879	3213042
27	Add	/encoder/blocks.1/attn/value/Add		576000	576000	0	1	576000	9238528	0.170581	0.4730224609375	0.0	0.0	2e-06	True	3328427	5481264	5481269	108072	3166955	3213300
28	Mul	/encoder/blocks.1/attn/Mul_1		576000	576000	0	1	576000	9238528	0.169329	0.4746401309967041	0.0	0.0	2e-06	True	2590768	5769264	5769269	108072	1816004	1862312
29	Mul	/encoder/blocks.1/attn/Mul		576000	576000	0	1	576000	9238528	0.169613	0.4677426815032959	0.0	0.0	2e-06	True	2589563	5769264	5769269	108072	1816672	9
30	Softmax	/encoder/blocks.1/attn/Softmax		13500000	13500000	0	9000	1500	216021376	4.66075	5.078642845153809	3.2186508178710938e-06	6.723065437697073e-10	0.0005	True	291371444	452267957	453058684	3429056	213849641	16
31	Add	/encoder/blocks.1/attn/out/Add		576000	576000	0	1	576000	9238528	0.170656	0.47289156913757324	0.0	0.0	2e-06	True	3329353	5481264	5481269	108072	3166777	3212370
32	Add	/encoder/blocks.1/Add		576000	576000	0	1	576000	9238528	0.170504	0.4774010181427002	0.0	0.0	2e-06	True	3327953	5481264	5481269	108072	3165658	11
33	Add	/encoder/blocks.1/mlp/0/Add		2304000	2304000	0	1	2304000	36880384	0.695937	1.007720947265625	0.0	0.0	2e-06	True	13888072	21922469	21922464	432071	12936557	11
34	Div	/encoder/blocks.1/mlp/1/Div		2304000	2304000	0	1	2304000	36880384	0.729662	1.0379579067230225	0.0	0.0	2e-06	True	34034172	71035538	71037723	432056	27351396	14
35	Erf	/encoder/blocks.1/mlp/1/Erf		2304000	2304000	0	1	2304000	36880384	0.747776	1.059011697769165	1.5497207641601562e-06	1.2705507401733485e-07	0.0003	True	56454526	97838421	97840384	432087	41652337	41808666
36	Add	/encoder/blocks.1/mlp/1/Add		2304000	2304000	0	1	2304000	36880384	0.69605	1.0007412433624268	0.0	0.0	2e-06	True	13893699	21922469	21922464	432071	12937105	11
37	Mul	/encoder/blocks.1/mlp/1/Mul		2304000	2304000	0	1	2304000	36880384	0.691714	1.015437364578247	0.0	0.0	2e-06	True	11368957	23074464	23074469	432072	7407064	9
38	Mul	/encoder/blocks.1/mlp/1/Mul_1		2304000	2304000	0	1	2304000	36880384	0.69185	1.006335735321045	0.0	0.0	2e-06	True	11423885	23074464	23074469	432072	7408442	9
39	Add	/encoder/blocks.1/mlp/2/Add		576000	576000	0	1	576000	9238528	0.170597	0.4761238098144531	0.0	0.0	2e-06	True	3328744	5481264	5481269	108072	3166794	3213834
40	Add	/encoder/blocks.1/Add_1		576000	576000	0	1	576000	9238528	0.170699	0.47701311111450195	0.0	0.0	2e-06	True	3328776	5481264	5481269	108072	3165054	11
41	Add	/encoder/blocks.2/attn/query/Add		576000	576000	0	1	576000	9238528	0.17056	0.48557186126708984	0.0	0.0	2e-06	True	3329546	5481264	5481269	108072	3167031	11
42	Add	/encoder/blocks.2/attn/value/Add		576000	576000	0	1	576000	9238528	0.170644	0.47237348556518555	0.0	0.0	2e-06	True	3329125	5481264	5481269	108072	3166348	3212401
43	Mul	/encoder/blocks.2/attn/Mul_1		576000	576000	0	1	576000	9238528	0.169389	0.4686880111694336	0.0	0.0	2e-06	True	2589865	5769264	5769269	108072	1817215	1864669
44	Mul	/encoder/blocks.2/attn/Mul		576000	576000	0	1	576000	9238528	0.169291	0.47202539443969727	0.0	0.0	2e-06	True	2589788	5769264	5769269	108072	1815221	1861117
45	Softmax	/encoder/blocks.2/attn/Softmax		13500000	13500000	0	9000	1500	216021376	4.64697	5.064917802810669	1.3172626495361328e-05	5.492712396026889e-10	0.0005	True	291857563	452233681	453041169	3429056	213847424	214702572
46	Add	/encoder/blocks.2/attn/out/Add		576000	576000	0	1	576000	9238528	0.170521	0.4788196086883545	0.0	0.0	2e-06	True	3328067	5481264	5481269	108072	3168565	3215111
47	Add	/encoder/blocks.2/Add		576000	576000	0	1	576000	9238528	0.17058	0.474851131439209	0.0	0.0	2e-06	True	3329126	5481264	5481269	108072	3166587	11
48	Add	/encoder/blocks.2/mlp/0/Add		2304000	2304000	0	1	2304000	36880384	0.695913	1.0095059871673584	0.0	0.0	2e-06	True	13890924	21922469	21922464	432071	12932799	13088436
49	Div	/encoder/blocks.2/mlp/1/Div		2304000	2304000	0	1	2304000	36880384	0.729551	1.0410792827606201	0.0	0.0	2e-06	True	34067505	71016579	71024902	432056	27363865	27519829
50	Erf	/encoder/blocks.2/mlp/1/Erf		2304000	2304000	0	1	2304000	36880384	0.753111	1.0659117698669434	1.5497207641601562e-06	1.024538676119846e-07	0.0003	True	56445641	97852504	97849057	432088	41650596	41806619
51	Add	/encoder/blocks.2/mlp/1/Add		2304000	2304000	0	1	2304000	36880384	0.695899	1.0169024467468262	0.0	0.0	2e-06	True	13895509	21922469	21922464	432071	12934422	13090434
52	Mul	/encoder/blocks.2/mlp/1/Mul		2304000	2304000	0	1	2304000	36880384	0.691661	1.0026438236236572	0.0	0.0	2e-06	True	11291050	23074464	23074469	432072	7405262	9
53	Mul	/encoder/blocks.2/mlp/1/Mul_1		2304000	2304000	0	1	2304000	36880384	0.691673	0.9999628067016602	0.0	0.0	2e-06	True	11327818	23074464	23074469	432072	7408498	7564810
54	Add	/encoder/blocks.2/mlp/2/Add		576000	576000	0	1	576000	9238528	0.170729	0.47878241539001465	0.0	0.0	2e-06	True	3328152	5481264	5481269	108072	3166329	11
55	Add	/encoder/blocks.2/Add_1		576000	576000	0	1	576000	9238528	0.170605	0.4757852554321289	0.0	0.0	2e-06	True	3328984	5481264	5481269	108072	3167214	3214303
56	Add	/encoder/blocks.3/attn/query/Add		576000	576000	0	1	576000	9238528	0.170726	0.4756646156311035	0.0	0.0	2e-06	True	3329518	5481264	5481269	108072	3167687	3214546
57	Add	/encoder/blocks.3/attn/value/Add		576000	576000	0	1	576000	9238528	0.17058	0.47149181365966797	0.0	0.0	2e-06	True	3330021	5481264	5481269	108072	3165433	3212714
58	Mul	/encoder/blocks.3/attn/Mul_1		576000	576000	0	1	576000	9238528	0.169372	0.47461533546447754	0.0	0.0	2e-06	True	2590168	5769264	5769269	108072	1818226	1864750
59	Mul	/encoder/blocks.3/attn/Mul		576000	576000	0	1	576000	9238528	0.169443	0.47450780868530273	0.0	0.0	2e-06	True	2590069	5769264	5769269	108072	1817663	1864919
60	Softmax	/encoder/blocks.3/attn/Softmax		13500000	13500000	0	9000	1500	216021376	4.66182	5.068669319152832	8.344650268554688e-06	7.665947876489554e-10	0.0005	True	289620863	452287454	453088327	3429056	213674122	16
61	Add	/encoder/blocks.3/attn/out/Add		576000	576000	0	1	576000	9238528	0.170692	0.4754340648651123	0.0	0.0	2e-06	True	3328982	5481264	5481269	108072	3166851	3213573
62	Add	/encoder/blocks.3/Add		576000	576000	0	1	576000	9238528	0.170498	0.471386194229126	0.0	0.0	2e-06	True	3328797	5481264	5481269	108072	3166734	3214249
63	Add	/encoder/blocks.3/mlp/0/Add		2304000	2304000	0	1	2304000	36880384	0.696085	1.0145466327667236	0.0	0.0	2e-06	True	13887436	21922464	21922469	432072	12932671	11
