index	op_type	node	case_label	elem_count	full_elem_count	tile_offset	rows	cols	required_bytes	wait_s	wall_s	host_max_abs	host_mean_abs	threshold	audit_pass	hpm3_cycles	hpm4_inst0	hpm5_inst1	hpm6_l2_miss_req	hpm7_icache_req	hpm8_icache_etlink_req
0	Div	/encoder/Div		1152000	1152000	0	1	1152000	18448384	0.340792	0.6453912258148193	0.0	0.0	2e-06	True	17053178	34960093	34967873	216056	13373065	13
1	Erf	/encoder/Erf		1152000	1152000	0	1	1152000	18448384	0.35152	0.6633434295654297	1.5497207641601562e-06	1.5500283723213215e-07	0.0003	True	28193500	50876637	50858448	216072	20259240	15
2	Add	/encoder/Add		1152000	1152000	0	1	1152000	18448384	0.322208	0.628392219543457	0.0	0.0	2e-06	True	5964741	10385409	10385582	216072	5660330	9
3	Mul	/encoder/Mul		1152000	1152000	0	1	1152000	18448384	0.320698	0.6256816387176514	0.0	0.0	2e-06	True	5073093	10961404	10961587	216072	3605261	8
4	Mul	/encoder/Mul_1		1152000	1152000	0	1	1152000	18448384	0.32082	0.6265363693237305	0.0	0.0	2e-06	True	5071711	10961404	10961587	216072	3607780	7
5	Div	/encoder/Div_1		576000	576000	0	1	576000	9238528	0.170853	0.4777247905731201	0.0	0.0	2e-06	True	8646213	17478815	17435436	108056	6752727	13
6	Erf	/encoder/Erf_1		576000	576000	0	1	576000	9238528	0.176603	0.48244380950927734	1.5497207641601562e-06	1.5960007715420943e-07	0.0003	True	14098667	25411232	25415769	108072	10129525	16
7	Add	/encoder/Add_1		576000	576000	0	1	576000	9238528	0.161401	0.47177672386169434	0.0	0.0	2e-06	True	2985039	5193144	5193187	108072	2830221	9
8	Mul	/encoder/Mul_2		576000	576000	0	1	576000	9238528	0.160629	0.4648139476776123	0.0	0.0	2e-06	True	2536203	5481144	5481187	108072	1801342	1850552
9	Mul	/encoder/Mul_3		576000	576000	0	1	576000	9238528	0.160588	0.45831871032714844	0.0	0.0	2e-06	True	2536745	5481149	5481182	108072	1803057	8
10	Add	/encoder/Add_2		576000	576000	0	1	576000	9238528	0.161294	0.4665944576263428	0.0	0.0	2e-06	True	2984842	5193144	5193187	108072	2828912	10
11	Add	/encoder/blocks.0/attn/query/Add		576000	576000	0	1	576000	9238528	0.161438	0.4676687717437744	0.0	0.0	2e-06	True	2984939	5193144	5193187	108072	2829240	2878027
12	Add	/encoder/blocks.0/attn/value/Add		576000	576000	0	1	576000	9238528	0.161452	0.46756482124328613	0.0	0.0	2e-06	True	2983727	5193144	5193187	108072	2828667	10
13	Mul	/encoder/blocks.0/attn/Mul_1		576000	576000	0	1	576000	9238528	0.160692	0.4657566547393799	0.0	0.0	2e-06	True	2536104	5481144	5481187	108072	1804439	7
14	Mul	/encoder/blocks.0/attn/Mul		576000	576000	0	1	576000	9238528	0.160578	0.4640846252441406	0.0	0.0	2e-06	True	2535617	5481149	5481182	108072	1802914	8
15	Softmax	/encoder/blocks.0/attn/Softmax		13500000	13500000	0	9000	1500	216021376	4.44445	4.847648620605469	0.00015419721603393555	6.422482101697824e-08	0.0005	True	280120767	418553820	419300059	3420040	211246298	13
16	Add	/encoder/blocks.0/attn/out/Add		576000	576000	0	1	576000	9238528	0.161332	0.46207332611083984	0.0	0.0	2e-06	True	2987425	5193144	5193187	108072	2830173	9
17	Add	/encoder/blocks.0/Add		576000	576000	0	1	576000	9238528	0.161397	0.4669818878173828	0.0	0.0	2e-06	True	2985014	5193144	5193187	108072	2830925	2880553
