variant	wait_s	gops	valid	passes	harts	mask	blocks	output_sum	slot_sum	ops	log	dump
y10_09_oc2_ofast	0.241274	2.227323	1	4	16	0xffff	4	13107200	13107200	537395200	run_y10_09_oc2_ofast_20260502-045219.log	dump_y10_09_oc2_ofast_20260502-045219.bin
y10_06_oc2_skipfinal	0.248641	2.161330	1	4	16	0xffff	4	13107200	13107200	537395200	run_y10_06_oc2_skipfinal_20260502-045219.log	dump_y10_06_oc2_skipfinal_20260502-045219.bin
y10_03_oc2_boundary	0.249437	2.154433	1	4	16	0xffff	4	13107200	13107200	537395200	run_y10_03_oc2_boundary_20260502-045219.log	dump_y10_03_oc2_boundary_20260502-045219.bin
y10_01_oc2	0.249574	2.153250	1	4	16	0xffff	4	13107200	13107200	537395200	run_y10_01_oc2_20260502-045219.log	dump_y10_01_oc2_20260502-045219.bin
y10_02_oc2_prefw	0.250207	2.147802	1	4	16	0xffff	4	13107200	13107200	537395200	run_y10_02_oc2_prefw_20260502-045219.log	dump_y10_02_oc2_prefw_20260502-045219.bin
y10_08_oc2_blocks5	0.312980	2.135814	1	4	16	0xffff	5	13107200	13107200	668467200	run_y10_08_oc2_blocks5_20260502-045219.log	dump_y10_08_oc2_blocks5_20260502-045219.bin
y10_04_oc2_skipread	0.252118	2.131523	1	4	16	0xffff	4	13107200	13107200	537395200	run_y10_04_oc2_skipread_20260502-045219.log	dump_y10_04_oc2_skipread_20260502-045219.bin
y10_07_oc2_blocks3	0.192470	2.111099	1	4	16	0xffff	3	13107200	13107200	406323200	run_y10_07_oc2_blocks3_20260502-045219.log	dump_y10_07_oc2_blocks3_20260502-045219.bin
y10_05_oc2_lastout	0.260424	2.063539	1	4	16	0xffff	4	13107200	13107200	537395200	run_y10_05_oc2_lastout_20260502-045219.log	dump_y10_05_oc2_lastout_20260502-045219.bin
y10_00_base	0.330750	1.624778	1	4	16	0xffff	4	13107200	13107200	537395200	run_y10_00_base_20260502-045219.log	dump_y10_00_base_20260502-045219.bin
